Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,"COURT OF CRIMINAL APPEALS, PLACE #1","COURT OF CRIMINAL APPEALS, PLACE #1","COURT OF CRIMINAL APPEALS, PLACE #1","COURT OF CRIMINAL APPEALS, PLACE #1","COURT OF CRIMINAL APPEALS, PLACE #1","COURT OF CRIMINAL APPEALS, PLACE #2","COURT OF CRIMINAL APPEALS, PLACE #2","COURT OF CRIMINAL APPEALS, PLACE #2","COURT OF CRIMINAL APPEALS, PLACE #2"
,DEM,LIB,REP,WI,TBC,DEM,REP,WI,TBC
,"Funderburk, Eric B.","Allen, Troy E., Jr.","McMillan, H.W. ""Bucky""",WRITE-IN,TOTAL VOTES CAST,"Cauthen, Florence Mangum","Baschab, Pam",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,523348,55776,684152,1284,1264560,591399,653849,1856,1247104
Autauga,3602,713,9449,24,13788,4590,9009,34,13633
Baldwin,8778,2024,32081,71,42954,10189,33117,86,43392
Barbour,3790,342,3063,6,7201,4053,3002,13,7068
Bibb,2463,232,3238,0,5933,2741,3093,0,5834
Blount,3922,780,9573,24,14299,4946,9018,40,14004
Bullock,2240,109,855,0,3204,2321,859,0,3180
Butler,2794,262,3060,12,6128,3260,2795,10,6065
Calhoun,12633,2034,15894,39,30600,14519,15397,86,30002
Chambers,4487,272,4214,0,8973,4737,4101,0,8838
Cherokee,2815,346,2319,13,5493,3068,2378,12,5458
Chilton,4119,697,7754,20,12590,4584,7785,24,12393
Choctaw,2396,127,2056,0,4579,2524,1972,0,4496
Clarke,3658,236,4051,14,7959,3917,3863,22,7802
Clay,1711,269,2552,5,4537,1898,2563,7,4468
Cleburne,1668,315,2240,6,4229,1872,2265,14,4151
Coffee,4056,620,7072,23,11771,4915,6672,29,11616
Colbert,8438,700,6864,30,16032,9360,6435,38,15833
Conecuh,2359,224,1792,12,4387,2567,1796,10,4373
Coosa,2108,207,1708,5,4028,2297,1672,11,3980
Covington,3196,521,6330,18,10065,4246,5466,18,9730
Crenshaw,1546,215,2029,7,3797,2110,1684,9,3803
Cullman,8062,1687,14116,59,23924,9818,13866,53,23737
Dale,3722,580,6778,22,11102,4352,6564,32,10948
Dallas,9039,568,5638,15,15260,9855,5261,26,15142
DeKalb,6181,586,8877,4,15648,6727,8534,5,15266
Elmore,5030,943,13881,34,19888,6434,13238,41,19713
Escambia,3089,310,4719,15,8133,3477,4527,22,8026
Etowah,13522,1691,14543,40,29796,15513,13831,60,29404
Fayette,2742,506,3112,8,6368,3476,2805,11,6292
Franklin,3851,369,3539,6,7765,4311,3308,18,7637
Geneva,1893,457,4621,14,6985,2419,4408,14,6841
Greene,3125,115,711,5,3956,3262,659,5,3926
Hale,3630,257,1898,8,5793,3974,1712,16,5702
Henry,2091,251,2564,9,4915,2336,2489,13,4838
Houston,6871,941,15662,48,23522,8091,14977,54,23122
Jackson,5789,636,4842,20,11287,6318,4803,25,11146
Jefferson,97564,6158,103168,105,206995,105936,98028,222,204186
Lamar,2424,170,2668,0,5262,2616,2522,0,5138
Lauderdale,10899,1173,11907,31,24010,12738,11018,37,23793
Lawrence,5249,556,3712,13,9530,6209,3242,18,9469
Lee,11111,1245,15162,0,27518,11690,15392,0,27082
Limestone,7371,1045,10326,28,18770,9018,9505,36,18559
Lowndes,3124,185,1343,7,4659,3455,1157,9,4621
Macon,5513,273,855,9,6650,5707,899,12,6618
Madison,32744,4738,44783,115,82380,38449,42453,184,81086
Marengo,3967,232,3108,20,7327,4312,2910,16,7238
Marion,4266,494,4659,23,9442,4896,4414,20,9330
Marshall,7212,1463,12239,28,20942,9021,11414,40,20475
Mobile,38391,3289,57649,7,99336,41481,55434,12,96927
Monroe,3160,298,4024,10,7492,3518,3976,12,7506
Montgomery,29391,1803,32102,1,63297,33556,29084,3,62643
Morgan,11752,2047,19351,0,33150,15358,17572,0,32930
Perry ,3355,124,1244,3,4726,3541,1113,4,4658
Pickens,3303,211,2683,3,6200,3551,2505,5,6061
Pike,3171,389,4106,17,7683,3637,3923,14,7574
Randolph,2945,308,3265,0,6518,3220,3188,0,6408
Russell,6804,283,3270,14,10371,6140,3873,22,10035
Shelby,9246,1637,36614,54,47551,11452,35435,77,46964
St. Clair,5290,842,12695,23,18850,6113,12456,42,18611
Sumter,3625,85,1153,4,4867,3702,1138,5,4845
Talladega,9639,1134,10163,46,20982,10889,9771,57,20717
Tallapoosa,5471,638,7185,18,13312,6173,6922,36,13131
Tuscaloosa,17896,2024,22884,24,42828,20463,21648,53,42164
Walker,9387,921,9321,19,19648,10663,8672,24,19359
Washington,2718,336,2638,9,5701,3086,2535,7,5628
Wilcox,2880,126,1304,6,4316,3053,1233,2,4288
Winston,2064,407,4876,11,7358,2679,4493,29,7201
