County,Chris McNair,Bob Miller,Richard Shelby,Mrs. Frank. R. Stewart
Autauga,617,468,2922,256
Baldwin,886,531,2327,331
Barbour,579,385,2877,220
Bibb,544,113,2316,131
Blount,604,212,2125,170
Bullock,514,176,1752,118
Butler,442,176,2660,158
Calhoun,2016,475,2807,366
Chambers,651,264,2302,285
Cherokee,436,297,1908,350
Chilton,1452,198,4350,289
Choctaw,813,153,2693,155
Clarke,771,417,2654,282
Clay,363,194,1863,247
Cleburne,356,201,1410,182
Coffee,566,431,2946,137
Colbert,1895,622,8188,586
Conecuh,453,121,1815,121
Coosa,344,55,868,77
Covington,587,407,5015,412
Crenshaw,246,43,1017,74
Cullman,1606,686,6142,855
Dale,518,439,2590,171
Dallas,1985,498,5019,371
Dekalb,495,301,3618,495
Elmore,793,531,3307,277
Escambia,601,365,2726,316
Etowah,2063,561,6931,666
Fayette,597,277,2575,202
Franklin,519,297,3422,358
Geneva,289,230,2542,185
Greene,557,90,3145,55
Hale,648,151,1432,80
Henry,321,185,2351,120
Houston,991,626,6127,526
Jackson,848,702,5191,505
Jefferson,54278,1514,36269,1925
Lamar,304,260,2642,320
Lauderdale,2351,883,10425,859
Lawrence,411,108,1397,98
Lee ,1807,661,2798,353
Limestone,970,359,4537,463
Lowndes,503,146,1330,95
Macon,1309,333,1662,277
Madison,6645,1288,14259,1536
Marengo,1236,289,3288,160
Marion,520,423,3415,378
Marshall,852,460,3228,371
Mobile,9118,1504,20817,2342
Monroe,600,102,1437,94
Montgomery,6817,1516,19762,1199
Morgan,1936,977,7762,936
Perry,510,152,2808,128
Pickens,311,141,1638,113
Pike,347,225,2471,146
Randolph,578,466,2181,266
Russell,586,587,2277,245
Shelby,934,166,2235,188
St. Clair,1769,93,2215,155
Sumter,2155,139,2141,123
Talladega,1776,361,2282,310
Tallapoosa,540,290,1581,183
Tuscaloosa,5091,1119,16882,721
Walker,2618,1376,9875,1142
Washington,836,329,3816,333
Wilcox,919,175,2191,219
Winston,243,112,1403,149
Calculated,136836,28432,304957,25956
Reported,136836,28432,304967,25956
