Unnamed: 0,Comm. of Agriculture & Industries,Unnamed: 2,Unnamed: 3
,Sparks (D),Lipscomb (R),Write-In
Total,701320,485275,750
Margin,0.1819563816750818,,
Autauga,7071,6453,14
Baldwin,15488,29388,26
Barbour,3941,1926,1
Bibb,3264,2030,9
Blount,6824,6855,
Bullock,2509,389,2
Butler,4622,1700,4
Calhoun,16273,11475,15
Chambers,5523,2887,
Cherokee,4638,1954,3
Chilton,6583,4738,6
Choctaw,3201,1204,2
Clarke,5380,2806,6
Clay,3049,1465,2
Cleburne,1998,1709,3
Coffee,6877,5572,7
Colbert,10519,4452,6
Conecuh,2990,990,6
Coosa,2996,1108,6
Covington,6822,3376,5
Crenshaw,3016,1002,3
Cullman,14542,10085,18
Dale,5905,5787,5
Dallas,10700,2816,11
DeKalb,11924,5332,10
Elmore,11054,9068,12
Escambia,4685,3392,11
Etowah,17644,10288,25
Fayette,3617,1896,6
Franklin,5364,1900,4
Geneva,3620,3118,6
Greene,3322,472,3
Hale,3985,1016,8
Henry,3379,1841,4
Houston,12050,12269,17
Jackson,8310,3600,5
Jefferson,102541,70199,83
Lamar,2791,1586,2
Lauderdale,15075,8160,9
Lawrence,7414,2223,9
Lee,13851,12050,21
Limestone,10629,7718,20
Lowndes,3413,643,3
Macon,5033,578,4
Madison,44383,34413,62
Marengo,4844,1994,3
Marion,5416,2908,7
Marshall,12771,9052,12
Mobile,45530,43201,55
Monroe,4976,2590,
Montgomery,41545,17898,31
Morgan,17843,13454,16
Perry,3462,645,13
Pickens,4048,1832,3
Pike,5204,2388,6
Randolph,3652,2105,3
Russell,6025,3103,7
St Clair,8362,10128,14
Shelby,17143,29736,25
Sumter,4067,1071,7
Talladega,11990,6616,8
Tallapoosa,7755,4508,1
Tuscaloosa,24509,16574,23
Walker,12166,5444,19
Washington,3757,1805,5
Wilcox,3629,606,2
Winston,3811,3688,6
