County,Carl Elliot,Richmond Flowers,James Folsom,Bob Gilchrist,Eunice Gore
Autauga,131,1683,148,245,7
Baldwin,664,1251,374,605,62
Barbour,101,2536,232,83,10
Bibb,158,609,124,123,16
Blount ,1880,115,525,278,19
Bullock,47,2161,91,69,5
Butler,101,1419,79,279,8
Calhoun,2201,2882,302,1344,33
Chambers,367,1055,122,314,13
Cherokee,311,279,651,239,11
Chilton,289,371,118,176,10
Choctaw,110,2337,53,128,8
Clarke,189,2043,102,169,11
Clay,396,259,169,194,5
Cleburne,215,106,88,155,8
Coffee,329,724,692,200,12
Colbert,2121,1678,344,704,17
Conecuh,123,1531,62,88,1
Coosa,173,659,101,180,6
Covington,331,853,309,409,16
Crenshaw,91,896,145,192,7
Cullman,2012,140,3825,548,13
Dale,159,1014,132,172,4
Dallas,250,6795,72,417,7
Dekalb,1203,176,1046,1630,27
Elmore,254,1837,214,355,18
Escambia,419,1420,141,285,50
Etowah,3113,2795,697,2506,78
Fayette,942,343,313,124,8
Franklin,2838,319,109,200,7
Geneva,230,493,165,92,16
Greene,103,2188,59,142,0
Hale,133,2996,124,102,6
Henry,43,939,51,56,2
Houston,181,1888,167,309,19
Jackson,517,422,740,1012,39
Jefferson,12200,49132,1259,9131,172
Lamar,962,211,229,80,10
Lauderdale,2629,1300,611,1152,26
Lawrence,566,759,896,355,24
Lee,1233,2193,85,497,11
Limestone,696,944,480,1073,19
Lowndes,46,631,99,68,3
Macon,1901,2849,66,98,6
Madison,3991,4492,736,5691,22
Marengo,195,4154,132,196,7
Marion,1997,159,311,234,17
Marshall,1135,253,1599,2057,32
Mobile,5901,13724,906,3636,289
Monroe,119,1808,77,158,65
Montgomery,1428,13208,675,2292,56
Morgan,882,690,754,2612,20
Perry,115,3063,69,128,3
Pickens,451,1175,74,132,9
Pike,215,1908,177,161,10
Randolph,430,626,309,253,30
Russell,250,2751,140,101,19
Shelby,656,804,127,459,20
St. Clair,949,536,124,300,24
Sumter,138,2703,38,100,3
Talladega,1414,2802,271,842,21
Tallapoosa,400,1171,308,414,20
Tuscaloosa,2685,4196,345,2459,35
Walker,4747,965,366,421,23
Washington,195,1081,94,133,7
Wilcox,60,2872,37,86,4
Winston,661,14,65,59,3
Calculated,71972,172386,24145,49502,1589
Reported,71972,172386,24145,49502,1589
