County,Roger Bedford,Unnamed: 2,Glen Browder
Autauga,606,,797
Baldwin,1303,,363
Barbour,635,,438
Bibb,962,,916
Blount,806,,643
Bullock,1958,,1211
Butler,1006,,924
Calhoun,1197,,7381
Chambers,914,,1729
Cherokee,1026,,2679
Chilton,753,,782
Choctaw,587,,91
Clarke,2939,,1140
Clay,604,,2331
Cleburne,444,,1557
Coffee,1109,,777
Colbert,6700,,1587
Conecuh,1808,,851
Coosa,346,,753
Covington,2360,,1819
Crenshaw,412,,232
Cullman,3540,,2013
Dale,618,,290
Dallas,1832,,757
Dekalb,1888,,1193
Elmore,731,,1233
Escambia,1044,,391
Etowah,2580,,2364
Fayette,1897,,1064
Franklin,4778,,812
Geneva,406,,232
Greene,1084,,243
Hale,1294,,403
Henry,492,,212
Houston,920,,449
Jackson,5234,,3871
Jefferson,16116,,6304
Lamar,790,,318
Lauderdale,6963,,2479
Lawrence,3873,,1091
Lee,1027,,2306
Limestone,2845,,1266
Lowndes,596,,127
Macon,2393,,1525
Madison,3700,,2380
Marengo,1197,,244
Marion,1587,,342
Marshall,1372,,883
Mobile,5792,,1093
Monroe,1364,,448
Montgomery,3711,,3172
Morgan,2262,,1286
Perry,1652,,277
Pickens,1872,,768
Pike,1014,,798
Randolph,1255,,3308
Russell,838,,1887
Shelby,1226,,732
St. Clair,593,,736
Sumter,1101,,173
Talladega,805,,2325
Tallapoosa,771,,1715
Tuscaloosa,4667,,1138
Walker,8347,,3413
Washington,3783,,1073
Wilcox,816,,168
Winston,606,,112
Calculated,141747,,88415
Reported,141747,,88415
