County,Laurie Battle,John G. Crommelin,W.E. Dodd,Shearen Elebash,Jimmy Faulkner
Autauga,90,21,1,8,428
Baldwin,151,54,38,11,5485
Barbour,13,6,6,6,194
Bibb,45,8,13,2,280
Blount ,404,15,57,0,586
Bullock,53,18,0,4,55
Butler,104,26,19,12,638
Calhoun,716,45,107,34,2109
Chambers,445,23,20,5,1050
Cherokee,53,5,46,7,685
Chilton,185,17,15,10,818
Choctaw,103,13,12,2,563
Clarke,112,24,6,26,663
Clay,204,8,9,1,572
Cleburne,39,7,69,0,442
Coffee,47,18,8,5,861
Colbert,427,31,186,14,2012
Conecuh,44,4,13,15,568
Coosa,110,11,16,1,337
Covington,145,42,16,20,1930
Crenshaw,28,18,17,6,770
Cullman,354,14,158,7,1292
Dale,34,41,8,3,823
Dallas,776,9,6,45,652
Dekalb,81,12,93,67,1362
Elmore,133,447,7,18,859
Escambia,107,41,26,7,1618
Etowah,706,31,126,28,1988
Fayette,140,7,28,7,1192
Franklin,50,2,71,3,826
Geneva,28,25,8,9,842
Greene,115,6,6,0,102
Hale,354,1,3,1,253
Henry,14,8,10,2,430
Houston,95,31,26,16,1425
Jackson,164,3,98,6,1683
Jefferson,23461,281,916,137,10785
Lamar,32,4,47,2,2263
Lauderdale,214,21,219,23,3210
Lawrence,107,8,68,16,818
Lee,185,13,14,27,995
Limestone,220,14,44,2,932
Lowndes,93,8,0,9,170
Macon,62,21,56,7,250
Madison,320,18,215,51,2266
Marengo,123,6,6,14,385
Marion,142,5,62,2,1278
Marshall,434,9,148,15,1352
Mobile,1347,327,953,50,9367
Monroe,125,5,17,1,638
Montgomery,974,169,71,238,4009
Morgan,537,32,104,18,1849
Perry,235,3,8,2,333
Pickens,318,7,12,3,536
Pike,58,16,18,18,736
Randolph,88,7,56,4,942
Russell,69,11,34,5,684
Shelby,233,8,19,6,549
St. Clair,243,12,35,0,739
Sumter,84,5,0,3,418
Talladega,917,20,51,22,2032
Tallapoosa,370,20,16,20,1027
Tuscaloosa,674,48,82,53,2201
Walker,379,21,111,13,3070
Washington,52,26,17,3,778
Wilcox,142,6,0,4,197
Winston,48,2,6,1,310
Calculated,38955,2245,4753,1177,91512
Reported,38955,2245,4753,1177,91512
