Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
,,,,,Total Number of Votes,ABSENTEE VOTERS,ALLGOOD,BLOUNT SPRINGS,BLOUNTSVILLE,BROOKSVILLE,CLEVELAND,DALLAS - SELFVILLE,HAYDEN,HOLLY SPRINGS,LOCUST FORK,MT_ HIGH,MURPHREE VALLEY,NECTAR,ONEONTA . 1,ONEONTA . 2,PINE MOUNTAIN,REMLAP,ROCK SPRINGS,ROSA,ROYAL,SMOKE RISE,SNEAD,ST_ MOUNTAIN,SUGAR CREEK - BANGOR,SUMMIT,SUSAN MOORE
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,
05,BLOUNT,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",546,11,8,8,29,15,28,29,42,11,35,35,18,24,22,15,8,29,8,17,13,44,22,29,22,10,14
05,BLOUNT,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",10210,171,231,128,687,171,402,502,849,138,525,615,319,393,498,587,220,477,230,293,161,582,525,778,214,136,378
05,BLOUNT,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,19,0,0,1,0,1,2,0,2,0,0,2,0,1,0,1,1,1,0,0,1,1,2,1,0,0,2
05,BLOUNT,"US HOUSE, CONGRESSIONAL DISTRICT 4",LIB,"McLendon, Tony Hughes",1557,22,26,21,97,29,87,79,130,16,94,85,39,66,101,107,30,53,39,52,44,64,70,83,40,30,53
05,BLOUNT,"US HOUSE, CONGRESSIONAL DISTRICT 4",REP,"Aderholt, Robert",12242,211,278,149,841,218,532,592,992,170,608,719,368,472,639,727,243,546,283,359,208,681,628,903,257,176,442
05,BLOUNT,"US HOUSE, CONGRESSIONAL DISTRICT 4",WI,WRITE-IN,55,3,0,0,4,1,4,3,6,0,0,4,2,1,6,2,1,3,0,5,0,2,3,3,1,1,0
05,BLOUNT,"STATE BOE, DISTRICT 6",LIB,"Vines, Patsy",2766,31,45,34,208,56,168,128,206,35,153,139,85,127,182,182,56,95,71,92,69,105,115,155,84,51,94
05,BLOUNT,"STATE BOE, DISTRICT 6",REP,"Byers, David",10046,176,241,126,648,168,394,515,846,138,511,627,300,362,496,571,200,477,210,283,156,615,518,781,186,140,361
05,BLOUNT,"STATE BOE, DISTRICT 6",WI,WRITE-IN,37,2,1,0,3,1,2,2,4,0,2,2,0,0,3,4,0,2,0,2,1,2,3,1,0,0,0
05,BLOUNT,"STATE SENATE, DISTRICT 9",DEM,"Mitchem, Hinton",2029,37,0,0,596,187,0,0,0,0,0,0,76,0,0,0,0,0,218,0,4,0,456,0,0,175,280
05,BLOUNT,"STATE SENATE, DISTRICT 9",REP,"Edmonds, Doris",1232,31,0,0,333,105,0,0,0,0,0,0,51,0,0,0,0,0,135,0,3,0,310,0,0,78,186
05,BLOUNT,"STATE SENATE, DISTRICT 9",WI,WRITE-IN,11,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,0
05,BLOUNT,"STATE SENATE, DISTRICT 17",DEM,"Moore, Caroline B.",2095,25,47,29,32,0,155,125,198,37,139,132,59,129,172,154,51,96,0,94,80,106,0,154,65,0,16
05,BLOUNT,"STATE SENATE, DISTRICT 17",REP,"Biddle, Jack, III",8090,128,226,134,95,0,400,521,870,137,524,660,218,362,486,586,209,481,0,279,133,619,0,771,212,0,39
05,BLOUNT,"STATE SENATE, DISTRICT 17",WI,WRITE-IN,78,3,0,1,2,0,4,3,16,0,2,4,2,3,8,8,2,5,0,5,3,3,0,2,2,0,0
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 11",DEM,"Maze, Dennis E.",1569,26,0,0,580,205,390,0,0,0,0,0,0,0,0,0,0,0,197,10,0,0,0,0,0,161,0
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 11",REP,"Oden, Jeremy H.",1242,25,0,0,525,99,338,0,0,0,0,0,0,0,0,0,0,0,152,12,0,0,0,0,0,91,0
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 11",WI,WRITE-IN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 34",LIB,"Moore, Claude Harley",1316,18,19,21,0,0,0,84,158,25,88,112,44,80,94,73,28,62,0,39,49,85,75,72,40,0,50
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 34",REP,"Thomas, Elwyn",10107,173,291,148,0,0,0,566,942,160,607,664,380,473,665,776,245,523,0,356,203,643,633,948,249,0,462
05,BLOUNT,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 34",WI,WRITE-IN,37,0,0,0,0,0,0,2,5,0,0,3,2,0,3,1,0,3,0,2,1,5,1,5,2,0,2
05,BLOUNT,STATEWIDE AMENDMENT #1,,YES,9846,178,207,117,666,176,473,455,802,119,475,547,287,344,544,671,189,449,228,312,176,586,473,701,199,141,331
05,BLOUNT,STATEWIDE AMENDMENT #1,,NO,3061,26,79,36,239,60,153,177,251,54,177,195,79,124,133,139,73,124,79,74,60,142,132,212,76,57,110
05,BLOUNT,STATEWIDE AMENDMENT #2,,YES,5154,96,110,46,373,90,278,256,412,56,220,251,150,208,310,350,100,226,112,174,87,252,258,378,98,82,181
05,BLOUNT,STATEWIDE AMENDMENT #2,,NO,6871,91,160,95,464,115,315,346,582,103,395,444,185,231,340,421,158,308,164,178,129,432,291,455,153,94,222
05,BLOUNT,STATEWIDE AMENDMENT #3,,YES,7796,133,157,78,531,156,389,380,619,80,396,435,236,304,424,467,169,376,156,254,153,422,388,539,175,127,252
05,BLOUNT,STATEWIDE AMENDMENT #3,,NO,4351,52,103,66,313,69,203,223,380,74,229,274,111,139,220,282,83,163,127,111,75,260,174,311,90,56,163
05,BLOUNT,LOCAL AMENDMENT #1,,YES,6957,119,127,70,443,114,358,314,529,81,340,354,206,287,464,524,141,307,143,249,129,355,347,487,148,95,226
05,BLOUNT,LOCAL AMENDMENT #1,,NO,5613,76,142,77,433,114,272,313,492,81,303,376,152,185,218,278,113,238,129,128,103,337,246,392,129,92,194
