Unnamed: 0,Elvin McCary,George W. Nichols,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Autauga,11.0,20.0,,,,,,,
Baldwin,103.0,221.0,,,,,,,
Barbour,0.0,2.0,,,,,,,
Bibb,0.0,5.0,,,,,,,
Blount,146.0,269.0,,,,,,,
Bullock,2.0,3.0,,,,,,,
Butler,2.0,8.0,,,,,,,
Calhoun,89.0,139.0,,,,,,,
Chambers,12.0,33.0,,,,,,,
Cherokee,6.0,3.0,,,,,,,
Chilton,120.0,193.0,,,,,,,
Choctaw,4.0,1.0,,,,,,,
Clarke,2.0,6.0,,,,,,,
Clay,3.0,5.0,,,,,,,
Cleburne,0.0,2.0,,,,,,,
Coffee,12.0,30.0,,,,,,,
Colbert,5.0,18.0,,,,,,,
Conecuh,6.0,5.0,,,,,,,
Coosa,0.0,1.0,,,,,,,
Covington,5.0,8.0,,,,,,,
Crenshaw,3.0,4.0,,,,,,,
Cullman,321.0,691.0,,,,,,,
Dale,6.0,7.0,,,,,,,
Dallas,5.0,14.0,,,,,,,
Dekalb,252.0,557.0,,,,,,,
Elmore,3.0,15.0,,,,,,,
Escambia,2.0,15.0,,,,,,,
Etowah,41.0,132.0,,,,,,,
Fayette,5.0,14.0,,,,,,,
Franklin,18.0,22.0,,,,,,,
Geneva,0.0,13.0,,,,,,,
Greene,0.0,0.0,,,,,,,
Hale,1.0,3.0,,,,,,,
Henry,0.0,4.0,,,,,,,
Houston,17.0,34.0,,,,,,,
Jackson,18.0,27.0,,,,,,,
Jefferson,2819.0,9474.0,,,,,,,
Lamar,4.0,9.0,,,,,,,
Lauderdale,23.0,49.0,,,,,,,
Lawrence,2.0,6.0,,,,,,,
Lee ,13.0,38.0,,,,,,,
Limestone,4.0,27.0,,,,,,,
Lowndes,1.0,0.0,,,,,,,
Macon,0.0,2.0,,,,,,,
Madison,136.0,248.0,,,,,,,
Marengo,5.0,7.0,,,,,,,
Marion,10.0,29.0,,,,,,,
Marshall,17.0,32.0,,,,,,,
Mobile,426.0,828.0,,,,,,,
Monroe,0.0,3.0,,,,,,,
Montgomery,60.0,118.0,,,,,,,
Morgan,46.0,98.0,,,,,,,
Perry,2.0,4.0,,,,,,,
Pickens,1.0,6.0,,,,,,,
Pike,4.0,16.0,,,,,,,
Randolph,3.0,4.0,,,,,,,
Russell,2.0,3.0,,,,,,,
Shelby,27.0,55.0,,,,, ,,
St. Clair,50.0,128.0,,,,,,,
Sumter,1.0,2.0,,,,,,,
Talladega,4.0,27.0,,,,,, ,
Tallapoosa,0.0,7.0,,,,,,, 
Tuscaloosa,49.0,253.0,,,,,,,
Walker,92.0,196.0,,,,,,,
Washington,0.0,1.0,,,,,,,
Wilcox,0.0,1.0,,,,,,,
Winston,920.0,1442.0,,,,,,,
Total,5941.0,15637.0,,,,,,,
 ,,,,,,,,,
