County,J.E. Folsom (D),Tom Abernathy (R)
Autauga,1395,437
Baldwin,3490,1720
Barbour,2162,268
Bibb,1634,358
Blount ,3237,1048
Bullock,1053,314
Butler,2581,766
Calhoun,5561,1756
Chambers,3397,725
Cherokee,1816,224
Chilton,3578,2323
Choctaw,1251,41
Clarke,2033,352
Clay,1865,479
Cleburne,1184,279
Coffee,3847,145
Colbert,4347,657
Conecuh,1719,254
Coosa,1677,327
Covington,4292,669
Crenshaw,3932,205
Cullman,6295,1942
Dale,1902,317
Dallas,2085,1453
Dekalb,8248,5995
Elmore,4412,674
Escambia,3080,305
Etowah,9670,3177
Fayette,2426,687
Franklin,3885,1994
Geneva,2213,144
Greene,669,138
Hale,955,466
Henry,1419,176
Houston,2618,769
Jackson,3305,434
Jefferson,28905,22420
Lamar,1855,216
Lauderdale,5511,938
Lawrence,1976,423
Lee,2291,680
Limestone,2988,244
Lowndes,731,277
Macon,1272,257
Madison,4987,881
Marengo,1371,430
Marion,2909,522
Marshall,5587,948
Mobile,14382,8257
Monroe,1777,220
Montgomery,6831,3856
Morgan,5750,1237
Perry,850,304
Pickens,1603,364
Pike,2324,398
Randolph,3555,714
Russell,2564,556
Shelby,2603,1275
St. Clair,2930,1156
Sumter,824,283
Talladega,5437,2585
Tallapoosa,4983,486
Tuscaloosa,5556,2179
Walker,7639,1925
Washington,1671,215
Wilcox,864,343
Winston,2642,2081
Calculated,244401,88688
Reported,244401,88688
