County,Beth Chapmam,Pat Duncan,Meredith Mayes,Jim Ziegler
Autauga,1340,,,988
Baldwin,8677,,,9329
Barbour,47,,,36
Bibb,195,,,207
Blount ,1947,,,1964
Bullock,15,,,5
Butler,139,,,19
Calhoun,1439,,,1399
Chambers,107,,,98
Cherokee,26,,,21
Chilton,1386,,,1531
Choctaw,4,,,5
Clarke,231,,,331
Clay,59,,,59
Cleburne,144,,,144
Coffee,216,,,249
Colbert,215,,,342
Conecuh,59,,,79
Coosa,61,,,88
Covington,160,,,176
Crenshaw,21,,,26
Cullman,361,,,453
Dale,197,,,307
Dallas,49,,,66
Dekalb,387,,,491
Elmore,2658,,,1985
Escambia,533,,,514
Etowah,809,,,902
Fayette,35,,,26
Franklin,19,,,25
Geneva,1208,,,1684
Greene,2,,,4
Hale,7,,,8
Henry,30,,,54
Houston,1170,,,1145
Jackson,123,,,133
Jefferson,11554,,,7414
Lamar,21,,,28
Lauderdale,174,,,306
Lawrence,28,,,30
Lee,609,,,535
Limestone,164,,,288
Lowndes,48,,,31
Macon,92,,,107
Madison,5075,,,5130
Marengo,49,,,52
Marion,69,,,108
Marshall,313,,,371
Mobile,11800,,,13241
Monroe,481,,,541
Montgomery,4246,,,2187
Morgan,2048,,,2309
Perry,3,,,13
Pickens,27,,,27
Pike,246,,,195
Randolph,39,,,45
Russell,32,,,32
Shelby,6577,,,2671
St. Clair,2979,,,2855
Sumter,1,,,6
Talladega,371,,,479
Tallapoosa,268,,,291
Tuscaloosa,1110,,,1065
Walker,176,,,230
Washington,56,,,115
Wilcox,144,,,75
Winston,242,,,313
Calculated,73118,0.0,0.0,65983
Reported,73118,51553.0,30279.0,65983
