Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65
,,,,,Total Number of Votes,ABSENTEE VOTERS,AMERICAN LEGION - DECATUR,AMERICAN LEGION - HARTSELLE #1,AMERICAN LEGION - HARTSELLE #2,AQUADOME REC CTR,AUSTINVILLE ELEM #1,AUSTINVILLE ELEM #2,BENJAMIN DAVIS ELEM 1,BENJAMIN DAVIS ELEM 2,BREWER HIGH SCHOOL,CASHIN HOMES COMMUNITY CENTER,CEDAR RIDGE MIDDLE SCH,CENTER SPRINGS METH.,CHESTNUT GROVE ELEM #1,CHESTNUT GROVE ELEM #2,DANVILLE VOL FIRE,DECATUR FIRE & RESCUE,DECATUR FIRE & RESCUE #8,DECATUR HIGH SCHOOL,DECATUR UTILITIES AUD,DIST NO. 3 SHOP BLDG,DISTRICT 4 SHOP BLDG.,EASTWOOD ELEMENTARY #1,EASTWOOD ELEMENTARY #2,EBENEZER VOL FIRE,FALKVILLE MUNICIPAL,GEORGIA LYON DUNN COMM CTR,GUM POND FIRE STATION,JULIAN HARRIS ELEM #1,JULIAN HARRIS ELEM #2,JULIAN HARRIS ELEM #3,LEBANON BAPTIST CHURCH,MACADONIA CUMBERLAND CHURCH,MASSEY CLUB HOUSE,MORGAN CO COURTHOUSE,MORGAN COUNTY D.H.R.,NEEL VOL FIRE,NEW EVA TOWN HALL,NUNGESTER ELEMENTARY,ODEN RIDGE VOL FIRE,OLD COURTHOUSE SOMERVILLE,OUTREACH MINISTRIES,PLEASANT HILL BAPTIST,PRICEVILLE MUNICIPAL BLDG. #1,PRICEVILLE MUNICIPAL BLDG. #2,SOMERVILLE RD ELEM #1,SOMERVILLE RD ELEM #2,SPARKMAN CIVIC CTR #1,SPARKMAN CIVIC CTR #2,SPARKMAN CIVIC CTR #3,SPARKMAN ELEMENTARY,TRI-COUNTY VOL FIRE,TRINITY MUNICIPAL BLDG,UNION CHURCH OF CHRIST,UNION HILL JR HIGH #1,UNION HILL JR HIGH #2,W DECATUR ELEM SCHOOL,WALTER JACKSON ELEM,WOODMEADE ELEM #1,WOODMEADE ELEM #2
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,MORGAN,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,36645,756,208,1840,431,898,293,500,296,590,138,252,1171,369,793,1140,348,520,1078,703,207,311,250,814,907,461,612,847,165,627,779,770,452,142,368,345,474,1101,511,498,349,805,224,547,827,1004,917,0,999,977,1326,965,391,870,331,711,296,328,593,635,585
52,MORGAN,GOVERNOR,DEM,"Siegelman, Don",15983,325,113,787,187,422,151,261,276,541,79,237,390,165,280,399,140,246,297,326,148,123,143,273,269,151,276,379,70,255,321,322,168,102,159,142,130,429,217,264,103,365,105,212,327,397,488,0,437,412,586,399,150,369,132,318,132,247,254,313,274
52,MORGAN,GOVERNOR,LIB,"Sophocleus, John P.",824,12,3,48,8,18,17,9,2,5,2,2,19,9,9,17,12,15,12,22,6,7,3,8,13,25,10,32,1,4,11,15,17,1,11,12,4,33,10,6,19,30,4,5,24,26,28,0,23,27,39,32,8,16,9,25,5,9,7,10,8
52,MORGAN,GOVERNOR,REP,"Riley, Bob",19461,430,89,986,229,446,121,226,15,43,56,12,757,190,498,712,190,256,762,349,50,177,98,529,612,279,317,430,94,359,443,425,263,37,189,187,334,617,283,222,223,398,115,325,472,571,389,0,527,522,684,524,227,473,182,359,157,69,329,307,296
52,MORGAN,GOVERNOR,WI,WRITE-IN,88,3,1,2,0,2,1,1,0,0,0,0,3,0,3,3,1,1,3,0,0,3,2,0,3,0,1,0,0,1,3,4,1,1,0,0,3,2,0,2,2,2,0,2,1,4,4,0,4,5,2,2,1,1,2,1,1,0,2,0,2
52,MORGAN,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",17166,352,118,833,212,442,166,267,276,535,84,239,449,152,327,449,161,263,316,342,150,130,137,313,320,190,297,391,73,278,341,348,197,99,187,167,144,505,239,257,128,404,121,221,347,435,510,0,482,428,628,450,167,407,148,324,129,244,272,313,262
52,MORGAN,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",631,9,3,39,3,13,10,9,2,5,1,1,15,10,7,11,5,11,10,14,3,5,8,4,13,12,11,27,1,6,8,14,3,1,5,8,3,21,7,10,6,22,4,7,19,19,21,0,18,24,28,17,9,11,11,18,6,10,8,17,8
52,MORGAN,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",18301,406,84,927,211,424,111,218,15,45,53,10,692,204,449,664,176,240,742,340,51,168,100,490,561,251,292,412,90,337,413,396,247,42,168,167,323,555,260,220,208,364,95,311,450,529,373,0,486,502,644,486,208,441,167,355,157,68,306,295,302
