Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
,,,,
,,,,
,County,Wallace,Zeigler,
,Autauga,3282,4334,
,Baldwin,7155,9233,
,Barbour,4206,1943,
,Bibb,3135,1957,
 ,Blount ,4364,4162,
,Bullock,2840,1257,
,Butler,3456,3404,
,Calhoun,10448,12774,
,Chambers,3464,4199,
,Cherokee,2677,2124,
,Chilton,4063,4816,
,Choctaw,3797,1773,
,Clarke,4307,3369,
,Clay,1464,2036,
,Cleburne,2549,1903,
,Coffee,3860,4547,
,Colbert,7098,5861,
,Conecuh,3712,2154,
,Coosa,1346,1967,
,Covington,3839,4984,
,Crenshaw,2810,2302,
,Cullman,6918,6773,
,Dale,3477,4389,
,Dallas,7901,5211,
,Dekalb,5830,5065,
,Elmore,4803,6210,
,Escambia,4754,3816,
,Etowah,14013,11964,
,Fayette,3976,3138,
,Franklin,2894,2102,
,Geneva,2909,2898,
,Greene,2915,1082,
,Hale,2805,1625,
,Henry,2850,1746,
,Houston,7433,8585,
,Jackson,5040,3378,
,Jefferson,83253,70246,
,Lamar,3568,2298,
,Lauderdale,7911,7070,
,Lawrence,6704,3267,
,Lee,5254,8394,
,Limestone,5743,4348,
,Lowndes,2903,981,
,Macon,4021,2354,
,Madison,17632,20329,
,Marengo,3850,2639,
,Marion,4150,3553,
,Marshall,7148,7954,
,Mobile,36040,37998,
,Monroe,4612,2954,
,Montgomery,27256,23512,
,Morgan,10825,10905,
,Perry,3413,1287,
,Pickens,3135,3079,
,Pike,3971,3105,
,Randolph,2586,2356,
,Russell,3475,3245,
,Shelby,6234,7934,
,St. Clair,3805,4634,
,Sumter,2987,1558,
,Talladega,5974,8793,
,Tallapoosa,4419,6588,
,Tuscaloosa,13229,14096,
,Walker,7125,7554,
,Washington,3512,2586,
,Wilcox,3515,1319,
,Winston,2043,1673,
,Calculated,462683,427690, 
,Reported,462683,427690, 
