County,Stephen Black,Greg Foster,Carol Jean Smith,Totals,Unnamed: 5,Unnamed: 6
Autauga,564.0,418.0,1101.0,2083.0,,
Baldwin,808.0,875.0,1747.0,3430.0,,
Barbour,1323.0,1033.0,1957.0,4313.0,,
Bibb,551.0,945.0,783.0,2279.0,,
Blount ,291.0,315.0,726.0,1332.0,,
Bullock,833.0,768.0,961.0,2562.0,,
Butler,1281.0,862.0,2283.0,4426.0,,
Calhoun,1512.0,1569.0,3395.0,6476.0,,
Chambers,942.0,726.0,1547.0,3215.0,,
Cherokee,934.0,858.0,2399.0,4191.0,,
Chilton,818.0,567.0,986.0,2371.0,,
Choctaw,1608.0,1058.0,1745.0,4411.0,,
Clarke,1381.0,1178.0,1894.0,4453.0,,
Clay,420.0,284.0,808.0,1512.0,,
Cleburne,421.0,707.0,1126.0,2254.0,,
Coffee,839.0,721.0,1964.0,3524.0,,
Colbert,2254.0,965.0,2207.0,5426.0,,
Conecuh,820.0,837.0,1569.0,3226.0,,
Coosa,725.0,541.0,1129.0,2395.0,,
Covington,605.0,971.0,1358.0,2934.0,,
Crenshaw,491.0,642.0,1226.0,2359.0,,
Cullman,2362.0,1957.0,4665.0,8984.0,,
Dale,489.0,417.0,1270.0,2176.0,,
Dallas,2924.0,2645.0,3763.0,9332.0,,
Dekalb,1773.0,979.0,1906.0,4658.0,,
Elmore,577.0,514.0,1432.0,2523.0,,
Escambia,1030.0,1067.0,2198.0,4295.0,,
Etowah,2221.0,1206.0,3469.0,6896.0,,
Fayette,1189.0,1612.0,1907.0,4708.0,,
Franklin,1667.0,1549.0,2396.0,5612.0,,
Geneva,219.0,188.0,505.0,912.0,,
Greene,663.0,1443.0,875.0,2981.0,,
Hale,2504.0,1579.0,1052.0,5135.0,,
Henry,670.0,671.0,1879.0,3220.0,,
Houston,1331.0,1031.0,2864.0,5226.0,,
Jackson,739.0,650.0,1348.0,2737.0,,
Jefferson,23347.0,6849.0,20731.0,50927.0,,
Lamar,732.0,1190.0,1465.0,3387.0,,
Lauderdale,3454.0,1868.0,4950.0,10272.0,,
Lawrence,2258.0,1580.0,2767.0,6605.0,,
Lee,1367.0,1278.0,1833.0,4478.0,,
Limestone,1716.0,1373.0,2361.0,5450.0,,
Lowndes,1058.0,881.0,1026.0,2965.0,,
Macon,1454.0,1328.0,1458.0,4240.0,,
Madison,5385.0,2988.0,7095.0,15468.0,,
Marengo,1861.0,1111.0,1627.0,4599.0,,
Marion,1731.0,1721.0,2692.0,6144.0,,
Marshall,1084.0,896.0,2920.0,4900.0,,
Mobile,6034.0,5910.0,7182.0,19126.0,,
Monroe,978.0,638.0,990.0,2606.0,,
Montgomery,4764.0,2895.0,6233.0,13892.0,,
Morgan,2326.0,1702.0,4047.0,8075.0,,
Perry,2203.0,948.0,900.0,4051.0,,
Pickens,1521.0,1462.0,1532.0,4515.0,,
Pike,429.0,337.0,593.0,1359.0, ,
Randolph,800.0,540.0,1151.0,2491.0,,
Russell,1662.0,855.0,1897.0,4414.0,, 
St. Clair,573.0,408.0,1046.0,2027.0,,
Shelby,573.0,408.0,1046.0,2027.0,,
Sumter,1772.0,1429.0,1266.0,4467.0,,
Talladega,2315.0,1262.0,2721.0,6298.0,,
Tallapoosa,1373.0,810.0,2331.0,4514.0,,
Tuscaloosa,1849.0,5172.0,2559.0,9580.0,,
Walker,3085.0,2736.0,4987.0,10808.0,,
Washington,1436.0,1455.0,1613.0,4504.0,,
Wilcox,1353.0,1341.0,1241.0,3935.0,,
Winston,191.0,235.0,401.0,827.0,,
Calculated,120463.0,87954.0,159101.0,367518.0,,
Reported,120801.0,88099.0,159555.0,368455.0,,
%,0.32785821877841254,0.23910382543322795,0.4330379557883595,,,
