County,Ryan Degraffenreid,Don Siegelman
Autauga,2703,2737
Baldwin,1085,2213
Barbour,2916,3597
Bibb,1750,3370
Blount,1335,1929
Bullock,1788,2569
Butler,2927,3250
Calhoun,7576,8694
Chambers,2981,4169
Cherokee,1583,1704
Chilton,804,1825
Choctaw,2134,3372
Clarke,2985,4234
Clay,1703,2264
Cleburne,1488,2025
Coffee,3161,4384
Colbert,1824,3180
Conecuh,1742,2761
Coosa,640,816
Covington,3891,3766
Crenshaw,2095,2380
Cullman,5312,6375
Dale,2159,2929
Dallas,5268,6794
Dekalb,4732,4052
Elmore,2200,2409
Escambia,2521,3304
Etowah,4999,6533
Fayette,3546,3938
Franklin,2230,3704
Geneva,1713,2475
Greene,1662,2863
Hale,1624,1584
Henry,1265,2294
Houston,2255,4039
Jackson,4639,4097
Jefferson,19604,25153
Lamar,1969,2941
Lauderdale,3945,5426
Lawrence,2684,4522
Lee,3237,4294
Limestone,2615,3250
Lowndes,1677,3107
Macon,1592,3506
Madison,7319,9152
Marengo,3138,4875
Marion,3811,5599
Marshall,6217,5363
Mobile,4645,18413
Monroe,1646,2590
Montgomery,10257,13957
Morgan,6745,7311
Perry,2841,2271
Pickens,3294,4212
Pike,1394,1618
Randolph,2004,2395
Russell,2032,3528
Shelby,862,1529
St. Clair,2224,2991
Sumter,1149,2078
Talladega,2303,3635
Tallapoosa,3722,4444
Tuscaloosa,14045,9217
Walker,6306,10706
Washington,2088,4188
Wilcox,927,2494
Winston,349,543
Calculated,221877,297937
Reported,221877,297937
