Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,,,,,Total Number of Votes,ABSENTEE VOTERS,A R C BUILDING,ADDISON COMMUNITY CENTER,ARLEY FIRE STATION & BETHEL BX,ASHRIDGE FIRE STATION,DELMAR,DOUBLE SPRINGS COMM CENTER .1,DOUBLE SPRINGS COMM CENTER .2,HALEYVILLE CITY HALL,HALEYVILLE HOUSING AUTHORITY,HELICAN FIRE STATION,HOUSTON FIRE STATION,LYNN CITY HALL,MORELAND FIRE STATION,NATURAL BRIDGE,NEEDMORE / HOME ZONE,NEIGHBORHOOD FCLTY_ BUILDING,NESMITH COMMUNITY CENTER,O MARYS MILL,PEBBLE FIRE HOUSE,POPLAR SPRINGS/SPORTSMANS CLUB,S_HALEYVILLE SCOUT HEADQUARTER,UPSHAW FRIENDSHIP CHURCH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,
67,WINSTON,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,8167,221,629,745,892,425,231,835,329,480,219,245,334,492,190,108,431,426,132,37,176,312,130,148
67,WINSTON,GOVERNOR,DEM,"Siegelman, Don",3298,92,235,290,353,158,119,403,137,195,93,96,147,170,48,37,141,157,46,20,50,155,79,77
67,WINSTON,GOVERNOR,LIB,"Sophocleus, John P.",128,4,4,13,16,5,3,12,3,12,1,3,6,10,6,4,7,4,3,0,0,6,2,4
67,WINSTON,GOVERNOR,REP,"Riley, Bob",4618,120,385,435,511,256,101,404,181,266,121,142,176,305,136,65,276,255,81,17,123,150,45,67
67,WINSTON,GOVERNOR,WI,WRITE-IN,25,0,4,1,3,1,0,1,1,0,0,0,2,0,0,0,3,6,0,0,1,0,2,0
67,WINSTON,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3314,93,250,293,352,163,101,391,142,203,97,85,153,165,47,42,153,160,45,25,53,149,72,80
67,WINSTON,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",139,1,9,12,14,8,4,19,0,12,0,5,4,11,4,4,5,5,1,0,4,13,2,2
67,WINSTON,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",4474,124,362,420,514,238,113,399,170,254,116,142,166,295,138,59,253,254,78,11,112,143,48,65
67,WINSTON,LIEUTENANT GOVERNOR,WI,WRITE-IN,28,0,3,3,4,0,0,4,4,0,1,1,1,0,0,0,2,1,0,0,0,2,1,1
67,WINSTON,UNITED STATES SENATOR,DEM,"Parker, Susan",2224,69,144,204,241,81,63,254,85,151,63,68,106,108,34,25,104,120,34,15,31,101,52,71
67,WINSTON,UNITED STATES SENATOR,LIB,"Allen, Jeff",161,3,8,16,14,7,4,18,12,10,5,2,6,11,4,5,9,5,0,2,2,11,0,7
67,WINSTON,UNITED STATES SENATOR,REP,"Sessions, Jeff",5596,143,473,511,626,322,153,542,222,314,147,167,216,356,152,75,300,295,93,19,136,194,70,70
67,WINSTON,UNITED STATES SENATOR,WI,WRITE-IN,12,0,0,1,1,0,1,3,0,0,1,0,0,0,0,0,1,2,0,0,1,0,1,0
67,WINSTON,ATTORNEY GENERAL,DEM,"Whigham, Boyd",2121,61,114,201,245,82,64,246,98,129,59,54,110,115,29,25,90,101,32,14,37,95,47,73
67,WINSTON,ATTORNEY GENERAL,LIB,"Myers, Wilson",193,8,9,19,22,8,4,22,4,14,4,2,9,14,5,5,8,11,0,2,3,14,6,0
67,WINSTON,ATTORNEY GENERAL,REP,"Pryor, Bill",5466,141,499,496,591,308,145,524,206,322,151,173,198,329,151,71,302,299,89,19,121,192,67,72
67,WINSTON,ATTORNEY GENERAL,WI,WRITE-IN,15,1,1,0,3,1,0,4,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,0
67,WINSTON,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",2806,72,192,237,300,128,88,342,127,168,78,75,132,143,42,37,130,140,43,17,55,119,62,79
67,WINSTON,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",172,7,9,17,18,9,2,25,5,12,2,4,5,8,6,6,7,7,2,0,2,15,0,4
67,WINSTON,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",4725,130,414,458,533,257,116,412,174,284,133,142,179,300,136,56,267,253,73,18,107,165,58,60
67,WINSTON,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,10,0,1,1,2,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
67,WINSTON,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",2281,64,151,212,242,93,64,249,93,153,73,70,112,124,31,25,97,105,31,16,38,111,55,72
67,WINSTON,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",5124,133,444,474,580,284,139,507,194,299,135,144,193,310,145,70,281,275,85,15,116,174,59,68
67,WINSTON,COURT OF CIVIL APPEALS,WI,WRITE-IN,17,0,1,1,2,0,0,2,2,0,0,0,2,1,1,0,1,2,0,0,0,2,0,0
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",2064,60,144,186,223,88,64,223,82,148,62,63,105,114,24,22,81,97,28,12,34,87,49,68
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",407,9,24,39,41,25,9,50,11,25,7,14,20,22,12,3,17,23,3,5,10,26,6,6
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",4876,132,421,460,556,257,123,473,188,274,138,129,179,298,143,71,273,263,80,14,110,171,56,67
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,11,0,0,1,2,1,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",2679,70,197,226,287,124,84,283,98,178,78,81,128,131,47,32,125,141,36,16,49,128,61,79
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",4493,123,377,446,520,240,107,447,170,271,118,119,163,279,128,63,233,233,74,15,103,154,50,60
67,WINSTON,"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,29,1,2,1,3,2,0,5,1,2,0,1,3,3,0,0,0,1,1,0,1,1,1,0
67,WINSTON,SECRETARY OF STATE,DEM,"Worley, Nancy L.",2853,77,210,266,306,125,83,319,121,178,83,81,120,140,33,33,141,159,38,15,46,138,59,82
67,WINSTON,SECRETARY OF STATE,LIB,"Bodenhausen, Mark",174,4,11,12,23,11,6,14,3,19,1,2,6,15,5,2,10,8,4,0,4,10,1,3
67,WINSTON,SECRETARY OF STATE,REP,"Thomas, Dave",4462,122,377,417,511,244,112,436,167,255,121,132,177,282,143,62,230,226,70,15,104,146,55,58
67,WINSTON,SECRETARY OF STATE,WI,WRITE-IN,8,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0
67,WINSTON,STATE TREASURER,DEM,"Black, Stephen Foster",2950,79,201,255,328,130,97,341,126,188,93,80,129,156,46,33,136,144,43,17,54,127,66,81
67,WINSTON,STATE TREASURER,LIB,"Garland,Gabe",226,5,10,23,31,11,5,23,9,16,5,8,7,17,6,4,7,14,1,1,5,12,2,4
67,WINSTON,STATE TREASURER,REP,"Ivey, Kay",4423,122,394,434,489,235,102,416,168,252,112,129,180,270,130,61,242,244,71,15,97,154,48,58
67,WINSTON,STATE TREASURER,WI,WRITE-IN,15,0,0,0,3,5,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0
67,WINSTON,STATE AUDITOR,DEM,"Gibson, Carolyn",2510,68,167,218,304,101,76,275,99,159,78,76,114,136,30,26,109,128,32,18,45,112,59,80
67,WINSTON,STATE AUDITOR,LIB,"Reeves, Franklin",365,10,19,35,36,25,23,46,11,22,5,5,14,38,8,3,16,14,2,0,5,15,3,10
67,WINSTON,STATE AUDITOR,REP,"Chapman, Beth",4482,126,397,436,487,242,95,435,177,269,121,132,169,253,140,67,239,244,75,13,102,162,51,50
67,WINSTON,STATE AUDITOR,WI,WRITE-IN,16,0,4,0,1,0,1,2,0,1,0,0,1,2,0,0,0,1,0,0,1,1,1,0
67,WINSTON,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",3204,90,208,281,357,138,100,366,137,202,87,112,137,161,60,32,146,160,53,20,54,147,70,86
67,WINSTON,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",208,5,13,24,25,6,3,30,7,8,3,4,11,13,6,3,9,7,2,1,5,17,1,5
67,WINSTON,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",4041,109,369,391,457,233,92,363,148,245,114,103,156,262,114,63,221,221,64,11,94,119,41,51
67,WINSTON,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,9,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",3042,86,212,294,319,124,98,352,117,197,89,93,130,150,39,35,153,152,49,18,53,139,65,78
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",301,8,19,22,36,14,10,35,11,17,5,6,19,26,8,3,11,7,2,1,7,17,6,11
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",4144,115,362,388,480,237,91,383,163,242,115,115,150,260,136,59,214,234,67,13,95,131,42,52
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,12,0,0,0,1,0,1,2,1,2,0,0,1,1,0,0,1,1,0,0,0,1,0,0
67,WINSTON,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",2083,63,151,190,223,84,68,232,77,136,65,68,98,110,25,24,90,108,31,14,35,85,47,59
