Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,
,John Baker,Walter Flowers,Howell Heflin,Oenn Hewett,Mac Newton,Mrs. F.Stewart,Gordon Tucker,,
Autauga,1196,2059,3144,69,162,63,200,,
Baldwin,1564,5047,7084,164,247,203,81,,
Barbour,699,1702,2454,38,260,195,88,,
Bibb,466,3469,1132,44,126,77,48,,
Blount,1116,2132,2997,89,135,111,90,,
Bullock,380,609,1601,14,124,94,146,,
Butler,896,1882,2366,67,303,74,61,,
Calhoun,2229,5659,10901,527,246,734,287,,
Chambers,809,1463,1497,95,112,144,98,,
Cherokee,1852,963,993,52,99,379,148,,
Chilton,896,3092,2349,110,147,171,166,,
Choctaw,259,4397,804,38,108,64,35,,
Clarke,906,2083,3184,61,106,76,28,,
Clay,428,1377,1950,118,122,226,101,,
Cleburne,388,1250,2088,78,102,101,55,,
Coffee,1270,2156,5266,98,323,140,108,,
Colbert,703,1155,9633,51,284,284,58,,
Conecuh,672,1053,2035,51,119,155,20,,
Coosa,637,1226,1898,50,129,90,57,,
Covington,1556,2697,3973,256,624,216,96,,
Crenshaw,820,1045,1703,51,229,131,140,,
Cullman,1481,3868,5664,235,258,336,247,,
Dale,901,2360,4205,109,367,102,90,,
Dallas,873,5336,5146,162,148,144,81,,
Dekalb,6316,2047,1783,131,130,204,150,,
Elmore,2175,2128,4493,117,316,126,270,,
Escambia,875,2547,4264,193,258,188,78,,
Etowah,2885,4960,12898,473,426,771,322,,
Fayette,669,2092,2769,58,132,143,139,,
Franklin,626,1546,427,95,140,116,66,,
Geneva,463,1281,4761,97,291,141,71,,
Greene,124,2175,841,21,50,27,25,,
Hale,205,3123,901,41,47,36,33,,
Henry,416,1121,1907,95,308,163,44,,
Houston,589,2827,7803,342,941,437,205,,
Jackson,3603,1332,1876,68,205,171,59,,
Jefferson,8913,39093,64732,951,2271,2303,1281,,
Lamar,541,1457,1556,78,155,127,95,,
Lauderdale,1242,2165,11154,116,412,330,103,,
Lawrence,771,1327,4250,141,151,172,115,,
Lee ,1692,3162,5636,64,375,388,124,,
Limestone,1939,2447,3373,75,299,299,111,,
Lowndes,409,812,1589,48,65,47,77,,
Macon,574,1515,3433,70,152,83,55,,
Madison,8000,9077,17279,582,287,594,170,,
Marengo,381,3576,1935,53,186,211,65,,
Marion,1011,2903,3644,141,201,275,163,,
Marshall,8544,2645,3245,268,237,340,79,,
Mobile,4021,19125,23813,685,1519,1824,509,,
Monroe,577,1942,2963,130,124,85,63,,
Montgomery,6526,9517,18926,346,641,380,1512,,
Morgan,2685,3829,8648,89,490,486,134,,
Perry,193,2298,3112,45,63,42,35,,
Pickens,530,3193,2125,49,88,99,87,,
Pike,1548,1889,3396,105,293,162,109,,
Randolph,580,1504,2154,45,209,309,56,,
Russell,1259,1641,2673,104,460,394,158,,
Shelby,1482,2403,3283,136,145,129,60,,
St. Clair,815,5360,5531,52,194,231,170,,
Sumter,226,2185,1154,40,71,68,47,,
Talladega,1326,3484,5103,265,299,487,214, ,
Tallapoosa,2245,2830,5352,123,260,196,99,, 
Tuscaloosa,1610,11991,7803,189,256,131,98,,
Walker,2197,4125,7957,204,296,300,263,,
Washington,446,2244,2786,74,144,127,67,,
Wilcox,622,1365,2396,60,193,72,68,,
Winston,232,531,990,16,29,36,28,,
Total,105080,236894,360781,9702,18689,17560,10206,,
Certified,101110,236894,369270,9702,18709,17562,10206,,
