Office,US Senator,Unnamed: 2,Unnamed: 3
Ballot Name,Vivian Davis Figures,Johnny Swanson III,Mark 'No NCAA' Townsend
Status,nominated,,
Total,112074,38757,25058
Percentage,0.6371859525041361,0.2203491975052448,0.1424648499906191
Autauga,653,196,131
Baldwin,1328,273,138
Barbour,762,308,159
Bibb,154,81,46
Blount,204,85,60
Bullock,1461,551,325
Butler,1443,595,477
Calhoun,864,191,108
Chambers,530,127,65
Cherokee,1078,869,477
Chilton,904,302,208
Choctaw,1212,432,218
Clarke,2753,476,334
Clay,1092,671,424
Cleburne,378,283,213
Coffee,672,388,201
Colbert,1770,1127,800
Conecuh,1728,446,259
Coosa,512,310,202
Covington,670,400,189
Crenshaw,263,130,72
Cullman,553,256,308
Dale,539,166,94
Dallas,4412,1344,1017
DeKalb,1291,926,630
Elmore,1293,302,211
Escambia,1099,423,250
Etowah,2142,1054,677
Fayette,709,465,442
Franklin,1220,1183,1005
Geneva,194,87,35
Greene,1221,139,71
Hale,859,288,148
Henry,513,275,126
Houston,952,339,183
Jackson,2199,1581,1682
Jefferson,11632,2381,699
Lamar,439,379,248
Lauderdale,1974,1124,1005
Lawrence,1230,862,711
Lee,1090,121,70
Limestone,1189,1050,504
Lowndes,1722,372,210
Macon,2418,740,350
Madison,6171,2192,1313
Marengo,1322,294,160
Marion,1102,774,735
Marshall,435,219,176
Mobile,11610,810,429
Monroe,1332,338,162
Montgomery,6926,1121,581
Morgan,1089,483,325
Perry,2394,620,339
Pickens,1440,1115,667
Pike,773,262,180
Randolph,848,698,299
Russell,1504,560,318
Shelby,741,186,97
St. Clair,377,118,74
Sumter,1009,541,241
Talladega,2180,666,505
Tallapoosa,1320,724,511
Tuscaloosa,2487,493,292
Walker,2671,1681,1346
Washington,1374,458,228
Wilcox,1593,274,238
Winston,55,32,60
