County,Twinkle Andress,Kay Ivey,Lisa Wallace
Autauga,2038,2714,1385
Baldwin,6079,9845,5628
Barbour,62,146,117
Bibb,370,596,535
Blount ,1341,2182,2015
Bullock,26,20,6
Butler,109,181,91
Calhoun,1736,3041,2551
Chambers,190,513,460
Cherokee,47,66,72
Chilton,944,1992,2006
Choctaw,10,25,15
Clarke,228,471,297
Clay,388,580,880
Cleburne,156,179,232
Coffee,498,1030,632
Colbert,303,570,472
Conecuh,52,64,56
Coosa,102,270,214
Covington,310,741,527
Crenshaw,73,106,80
Cullman,1609,2960,2009
Dale,428,1089,599
Dallas,104,230,191
Dekalb,795,832,612
Elmore,2973,3095,1660
Escambia,143,333,181
Etowah,1001,2239,1812
Fayette,92,153,185
Franklin,84,120,131
Geneva,681,1247,1077
Greene,28,33,24
Hale,16,23,36
Henry,46,179,86
Houston,1345,2964,1092
Jackson,160,465,229
Jefferson,13967,24772,14870
Lamar,36,58,72
Lauderdale,579,902,828
Lawrence,71,112,133
Lee,1834,3361,1147
Limestone,498,1324,908
Lowndes,65,142,54
Macon,41,95,89
Madison,3887,8968,4425
Marengo,54,211,147
Marion,341,313,421
Marshall,806,2264,1564
Mobile,9435,15104,10093
Monroe,266,1006,442
Montgomery,6757,9882,2576
Morgan,1452,3211,2461
Perry,15,44,24
Pickens,77,51,62
Pike,404,906,388
Randolph,109,187,258
Russell,118,323,306
Shelby,5488,8134,4574
St. Clair,2146,3679,2700
Sumter,2,12,13
Talladega,573,1810,1479
Tallapoosa,521,1384,1176
Tuscaloosa,4321,2802,2701
Walker,376,601,733
Washington,72,102,106
Wilcox,6,177,18
Winston,1140,1164,1260
Calculated,80024,134395,84223
Reported,80024,134395,84223
