Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,"ASSOCIATE JUSTICE, SUPREME COURT","ASSOCIATE JUSTICE, SUPREME COURT","ASSOCIATE JUSTICE, SUPREME COURT","ASSOCIATE JUSTICE, SUPREME COURT","ASSOCIATE JUSTICE, SUPREME COURT"
,DEM,LIB,REP,WI,TBC
,"Anderson, James H.","Bear, Tom","See, Harold",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,609490,29247,676539,840,1316116
Autauga,5039,289,9021,16,14365
Baldwin,11577,1483,30901,54,44015
Barbour,4088,129,3347,11,7575
Bibb,2973,123,3037,0,6133
Blount,5245,417,9423,18,15103
Bullock,2450,47,903,0,3400
Butler,3159,88,3255,4,6506
Calhoun,15377,755,16043,34,32209
Chambers,4603,197,4385,0,9185
Cherokee,3146,169,2473,4,5792
Chilton,5039,277,7883,16,13215
Choctaw,2579,45,2129,0,4753
Clarke,4125,95,4219,6,8445
Clay,2080,124,2742,2,4948
Cleburne,1937,162,2330,7,4436
Coffee,5031,266,7098,19,12414
Colbert,8823,302,7512,14,16651
Conecuh,2572,98,1981,2,4653
Coosa,2261,101,1832,6,4200
Covington,4162,168,6477,7,10814
Crenshaw,1795,54,2277,5,4131
Cullman,10085,776,14265,19,25145
Dale,4670,301,6529,13,11513
Dallas,9686,196,5727,17,15626
DeKalb,6812,314,9416,5,16547
Elmore,6706,474,13481,23,20684
Escambia,3551,144,4816,11,8522
Etowah,16129,738,14131,26,31024
Fayette,3628,180,3114,6,6928
Franklin,4153,179,3762,6,8100
Geneva,2932,160,4252,10,7354
Greene,3364,43,654,2,4063
Hale,4142,56,1867,3,6068
Henry,2551,103,2485,5,5144
Houston,9480,460,14485,44,24469
Jackson,6179,310,5313,20,11822
Jefferson,110224,4069,97208,68,211569
Lamar,2716,103,2642,0,5461
Lauderdale,11772,539,13079,33,25423
Lawrence,5668,213,4297,12,10190
Lee,11416,908,15922,0,28246
Limestone,8591,495,10843,20,19949
Lowndes,3363,67,1387,2,4819
Macon,5670,96,984,7,6757
Madison,36606,2927,47161,82,86776
Marengo,4493,71,3016,7,7587
Marion,4747,225,4864,10,9846
Marshall,8455,606,13459,19,22539
Mobile,44711,2294,55851,6,102862
Monroe,3563,116,4240,7,7926
Montgomery,36550,943,28753,3,66249
Morgan,13985,912,20296,0,35193
Perry ,3553,29,1225,3,4810
Pickens,3736,93,2659,0,6488
Pike,3637,113,4309,8,8067
Randolph,3243,199,3364,0,6806
Russell,6041,227,3934,10,10212
Shelby,12943,1237,34881,27,49088
St. Clair,6813,517,12051,13,19394
Sumter,3766,51,1101,2,4920
Talladega,11357,423,9910,12,21702
Tallapoosa,6130,273,7654,10,14067
Tuscaloosa,23673,896,20222,20,44811
Walker,11011,460,8864,7,20342
Washington,3063,105,2783,7,5958
Wilcox,3059,45,1290,0,4394
Winston,2806,172,4725,10,7713
