County,"Jim Folsom, Jr.",Tom Hayden,Paul Hubbert,Mrs. F. Ross Stewart
Autauga,2501,181,3930,395.0
Baldwin,4208,79,2748,
Barbour,3547,270,3036,183.0
Bibb,2722,105,2269,364.0
Blount ,2880,110,2143,189.0
Bullock,2802,65,1241,118.0
Butler,2195,232,2896,232.0
Calhoun,9525,622,7727,715.0
Chambers,4177,228,4350,372.0
Cherokee,3994,119,1941,212.0
Chilton,3272,114,2545,248.0
Choctaw,3403,136,2721,209.0
Clarke,4069,151,3648,178.0
Clay,2024,104,1828,252.0
Cleburne,2241,91,2164,280.0
Coffee,4048,277,4294,467.0
Colbert,5662,122,3477,314.0
Conecuh,2043,94,2026,172.0
Coosa,1794,38,1606,178.0
Covington,3492,406,4529,444.0
Crenshaw,2201,142,2275,191.0
Cullman,7979,265,5981,715.0
Dale,3115,158,3418,497.0
Dallas,7556,107,4057,320.0
Dekalb,4853,163,4067,356.0
Elmore,2921,149,4716,315.0
Escambia,3949,231,3320,232.0
Etowah,9782,286,6014,620.0
Fayette,3769,118,3453,358.0
Franklin,4568,166,3741,384.0
Geneva,2610,325,2621,215.0
Greene,2866,23,1764,88.0
Hale,2834,101,2284,93.0
Henry,2191,96,2678,199.0
Houston,5108,234,5502,537.0
Jackson,5911,248,3387,226.0
Jefferson,48400,490,21602,1105.0
Lamar,3054,126,2558,227.0
Lauderdale,7839,205,6181,542.0
Lawrence,4124,151,4415,409.0
Lee,4365,206,5752,476.0
Limestone,5164,242,4909,519.0
Lowndes,2618,93,1427,91.0
Macon,4157,68,1526,65.0
Madison,16145,493,10337,1005.0
Marengo,3946,206,3797,283.0
Marion,4865,158,3825,361.0
Marshall,7429,539,6090,576.0
Mobile,26925,560,11800,571.0
Monroe,2781,171,2904,223.0
Montgomery,15057,319,15469,509.0
Morgan,7420,597,9221,1491.0
Perry,3273,90,1876,101.0
Pickens,3803,114,2716,264.0
Pike,2900,103,2876,244.0
Randolph,2904,174,2251,150.0
Russell,4429,190,2900,318.0
Shelby,2408,50,1876,71.0
St. Clair,3565,163,3198,374.0
Sumter,2423,60,2789,107.0
Talladega,6832,455,5293,557.0
Tallapoosa,5707,254,5474,693.0
Tuscaloosa,16911,318,8720,675.0
Walker,9470,436,8807,1164.0
Washington,3989,85,2652,171.0
Wilcox,3563,40,1212,110.0
Winston,949,20,704,34.0
Calculated,380227,13532,285554,24354.0
Reported,380227,13532,285554,24254.0
