Office,Governor,Unnamed: 2
Candidate,Roy Moore,Bob Riley
% of Vote,0.3333644914666568,0.6666355085333432
Total Votes Reported,153354,306665
Autauga,1949,5185
Baldwin,5748,20517
Barbour,193,427
Bibb,959,1008
Blount,5153,4370
Bullock,46,97
Butler,215,638
Calhoun,3954,7097
Chambers,512,1136
Cherokee,421,556
Chilton,2190,3584
Choctaw,12,20
Clarke,677,1472
Clay,563,864
Cleburne,382,471
Coffee,1572,2931
Colbert,1397,2028
Conecuh,95,135
Coosa,244,292
Covington,1321,3206
Crenshaw,140,217
Cullman,5796,4546
Dale,2665,4324
Dallas,170,277
DeKalb,2278,2986
Elmore,3032,8257
Escambia,508,1229
Etowah,4764,5465
Fayette,595,312
Franklin,327,326
Geneva,2506,2840
Greene,42,30
Hale ,65,41
Henry,412,552
Houston,3719,6085
Jackson,759,737
Jefferson,22435,50305
Lamar,408,235
Lauderdale,2220,3822
Lawrence,785,561
Lee,2079,7472
Limestone,2774,3874
Lowndes,43,118
Macon,99,210
Madison,7988,22332
Marengo,208,382
Marion,984,459
Marshall,4460,5863
Mobile,10501,35389
Monroe,291,709
Montgomery,4233,18089
Morgan,6309,10715
Perry,61,50
Pickens,222,193
Pike ,692,2120
Randolph,524,897
Russell,369,661
St. Clair,5233,6054
Shelby,8779,20127
Sumter,34,65
Talladega,2741,3420
Tallapoosa,962,3337
Tuscaloosa,5908,10489
Walker,2587,1494
Washington,77,80
Wilcox,60,176
Winston,3907,2709
