County,Handy Ellis,J.E. Folsom
Autauga,855,992
Baldwin,2249,2266
Barbour,1348,1731
Bibb,1086,1840
Blount ,948,3698
Bullock,712,700
Butler,926,1834
Calhoun,2507,5755
Chambers,2353,2718
Cherokee,954,1889
Chilton,827,2495
Choctaw,1502,1350
Clarke,2123,1591
Clay,1130,2245
Cleburne,978,1910
Coffee,687,3530
Colbert,1974,3470
Conecuh,929,1452
Coosa,1116,1358
Covington,3351,2429
Crenshaw,1309,2139
Cullman,709,6034
Dale,1269,2600
Dallas,2897,1071
Dekalb,2552,4233
Elmore,1824,3753
Escambia,1352,3116
Etowah,2750,7813
Fayette,1478,2187
Franklin,1306,3105
Geneva,767,2683
Greene,764,292
Hale,1414,358
Henry,983,1839
Houston,2076,3186
Jackson,2241,4622
Jefferson,23407,26377
Lamar,1253,1791
Lauderdale,2561,3895
Lawrence,949,2829
Lee,2273,1366
Limestone,1425,2996
Lowndes,602,503
Macon,593,727
Madison,3709,5086
Marengo,2295,1534
Marion,1235,3351
Marshall,1529,7088
Mobile,8497,6711
Monroe,1666,1380
Montgomery,6540,5383
Morgan,2796,5089
Perry,1047,526
Pickens,1289,1150
Pike,1140,2506
Randolph,1483,3015
Russell,2084,1142
Shelby,4239,986
St. Clair,870,1569
Sumter,1399,403
Talladega,3134,3532
Tallapoosa,1980,3861
Tuscaloosa,4483,4403
Walker,2285,7594
Washington,1441,1727
Wilcox,1337,766
Winston,339,1598
Calculated,144126,205168
Reported,144126,205168
