Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23
,,,,,Total Number of Votes,ABSENTEE VOTERS,ABEL,BEASON MILL,BELLS MILL,BORDEN SPRINGS VOL_ FIRE,BUD BLAKE,CAVENDER,CHULAFINNIE,EDWARDSVILLE,FRUITHURST,HEFLIN NATIONAL GUARD ARMORY 1,HEFLIN NATIONAL GUARD ARMORY 2,HIGHTOWER,HOPEWELL,MUSCADINE,OAK LEVEL VOL FIRE DEPARTMENT,PLAINVIEW COMMUNITY CENTER,RANBURNE RESCUE SQUAD BUILDING
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,
15,CLEBURNE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,5038,196,132,132,256,93,106,93,501,260,214,758,629,344,200,190,191,132,611
15,CLEBURNE,GOVERNOR,DEM,"Siegelman, Don",2172,101,45,52,109,46,56,35,221,101,91,383,307,127,67,91,104,44,192
15,CLEBURNE,GOVERNOR,LIB,"Sophocleus, John P.",89,1,3,0,5,4,3,2,7,13,3,15,7,3,3,7,6,1,6
15,CLEBURNE,GOVERNOR,REP,"Riley, Bob",2680,88,83,77,139,42,45,54,264,141,116,344,303,213,126,87,77,83,398
15,CLEBURNE,GOVERNOR,WI,WRITE-IN,16,2,0,1,0,0,1,2,2,0,0,2,1,0,0,1,0,2,2
15,CLEBURNE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",2363,113,44,55,128,49,60,35,249,103,106,431,333,145,71,91,107,45,198
15,CLEBURNE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",125,3,3,6,5,5,5,2,8,14,6,13,9,8,8,11,5,0,14
15,CLEBURNE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",2234,63,76,62,108,28,34,53,222,125,91,279,247,177,109,76,66,82,336
15,CLEBURNE,LIEUTENANT GOVERNOR,WI,WRITE-IN,20,1,1,0,1,1,0,0,1,2,0,1,1,0,0,2,1,1,7
15,CLEBURNE,UNITED STATES SENATOR,DEM,"Parker, Susan",1656,82,28,42,80,27,44,22,165,82,70,289,232,108,59,77,88,28,133
15,CLEBURNE,UNITED STATES SENATOR,LIB,"Allen, Jeff",151,1,4,3,4,3,1,8,11,16,14,21,8,13,7,9,9,5,14
15,CLEBURNE,UNITED STATES SENATOR,REP,"Sessions, Jeff",2931,100,99,79,159,52,53,58,307,140,117,410,350,206,125,94,78,94,410
15,CLEBURNE,UNITED STATES SENATOR,WI,WRITE-IN,13,0,0,0,0,1,0,0,1,2,0,1,2,2,0,0,1,0,3
15,CLEBURNE,ATTORNEY GENERAL,DEM,"Whigham, Boyd",1544,92,27,39,71,35,39,20,153,66,51,268,203,103,49,75,85,27,141
15,CLEBURNE,ATTORNEY GENERAL,LIB,"Myers, Wilson",178,5,4,4,10,5,3,5,13,18,18,22,14,8,15,6,8,2,18
15,CLEBURNE,ATTORNEY GENERAL,REP,"Pryor, Bill",2775,76,95,76,142,41,48,57,291,145,122,399,342,204,119,93,77,96,352
15,CLEBURNE,ATTORNEY GENERAL,WI,WRITE-IN,12,0,0,0,2,0,0,0,0,1,0,1,2,2,1,0,1,0,2
15,CLEBURNE,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",1937,91,39,50,91,42,46,29,190,91,73,346,273,127,62,84,94,39,170
15,CLEBURNE,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",162,4,4,4,13,5,2,4,15,16,11,20,10,9,6,9,11,2,17
15,CLEBURNE,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",2330,69,81,58,116,30,48,49,248,113,100,315,282,179,110,79,61,75,317
15,CLEBURNE,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,7,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,0,0
15,CLEBURNE,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",1743,93,31,38,77,45,35,25,175,79,66,295,241,124,58,81,90,30,160
