Unnamed: 0,Unnamed: 1,County,Don Siegelman(D),Fob James(R),Unnamed: 5
,,Autauga,5972,7233,
,,Baldwin,17389,21004,
,,Barbour,5876,3232,
,,Bibb,3128,2508,
,,Blount ,6311,7229,
,,Bullock,3333,1009,
,,Butler,3671,3295,
,,Calhoun,19939,11820,
,,Chambers,5629,4024,
,,Cherokee,4038,1915,
,,Chilton,5975,6767,
,,Choctaw,3364,2106,
,,Clarke,4767,3789,
,,Clay,2658,2122,
,,Cleburne,2505,1730,
,,Coffee,6609,6333,
,,Colbert,10581,7063,
,,Conecuh,3214,2133,
,,Coosa,2502,1469,
,,Covington,5266,6125,
,,Crenshaw,2518,2155,
,,Cullman,12684,11498,
,,Dale,6272,5397,
,,Dallas,10553,4965,
,,Dekalb,9198,8156,
,,Elmore,8485,10583,
,,Escambia,4862,3910,
,,Etowah,19947,13100,
,,Fayette,4192,3206,
,,Franklin,5111,3720,
,,Geneva,3733,3874,
,,Greene,3452,777,
,,Hale,3992,1689,
,,Henry,3360,2226,
,,Houston,11305,12931,
,,Jackson,8044,4433,
,,Jefferson,130077,88398,
,,Lamar,2497,1949,
,,Lauderdale,14460,10680,
,,Lawrence,6774,3605,
,,Lee,16767,11415,
,,Limestone,10896,9016,
,,Lowndes,3886,1193,
,,Macon,6595,790,
,,Madison,50599,30877,
,,Marengo,5139,3346,
,,Marion,5583,3707,
,,Marshall,12087,9734,
,,Mobile,63419,40592,
,,Monroe,4255,3194,
,,Montgomery,42294,27821,
,,Morgan,18963,15805,
,,Perry,3619,1171,
,,Pickens,3942,2871,
,,Pike,5072,4051,
,,Randolph,3231,2532,
,,Russell,7218,2672,
,,Shelby,16814,24822,
,,St. Clair,9286,9966,
,,Sumter,3982,1073,
,,Talladega,12400,8064,
,,Tallapoosa,7886,6256,
,,Tuscaloosa,28487,18252,
,,Walker,12627,7944,
,,Washington,3946,2022,
,,Wilcox,3073,1297,
,,Winston,3846,4105,
,,Calculated,760155,554746,
,,Reported,760155,554746,1314901.0
