Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
,,,,,Reported Number of Votes,Calculated Number of  Votes,ABSENTEE VOTERS,1ST UNITED METHODIST-WEAVER #1,1ST UNITED METHODIST-WEAVER #2,ALEXANDRIA-CIVITAN CLUB CNTR,ANNISTON - CARVER CENTER,ANNISTON - FIRST PRESBYTERIAN,ANNISTON - MEETING CENTER,ANNISTON - MENTAL HEALTH CNTR,ANNISTON - THANKFUL BAPTIST,ANNISTON-F & WILMER FIRE ST.,ANNISTON-GOLDEN SPRINGS COMM 1,ANNISTON-GOLDEN SPRINGS COMM 2,ASBERRY BAPTIST CHURCH,BETHEL UNITED METHODIST CHURCH,BYNUM SCHOOL,CALHOUN COUNTY HEALTH DEPT.,CHOCCOLOCCO COMMUNITY CENTER,CHURCH OF THE COVENANT,COOSA VALLEY SADDLE CLUB,DEARMANVILLE SCHOOL,EULATON-UNITED METHODIST,FOUR MILE - METHODIST CHURCH,FRIENDSHIP BAPTIST CHURCH,FRIENDSHIP COMMUNITY CENTER,GLENWOOD MEADOWS MEETING ROOM,GODS COVENANT MINISTRY,HOBSON CITY - CITY HALL,HOLLEYS CROSSROADS BAPTIST,JACKSONVILLE-FIRST BAPTIST,JACKSONVILLE-WESTSIDE BAPTIST,LEATHERWOOD RD CIVIL DEFENSE,MOORE AVENUE CHURCH OF CHRIST,NATIONAL GUARD ARMORY,OHATCHEE FIRE STATION,OXFORD - CHEAHA CLUBHOUSE C.C.,OXFORD - OXFORD LAKE PARK C.C.,OXFORD CITY HALL,OXFORD ELEMENTARY SCHOOL #1,OXFORD ELEMENTARY SCHOOL #2,PIEDMONT COMMUNITY BUILDING,PIEDMONT FIRE STATION,PIEDMONT NATIONAL GUARD ARMORY,PIEDMONT RECREATION BUILDING,READS MILL - READS STORE,S.M. MCCURRY RESIDENCE,SAKS - HIGH SCHOOL #1,SAKS - HIGH SCHOOL #2,THE DONOHO SCHOOL,WEBSTERS CHAPEL METHODIST,WELLBORN HIGH SCHOOL,WELLINGTON - MT.VIEW BAPTIST,WHITE PLAINS HIGH SCHOOL,WIGGINS COMMUNITY CENTER
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08,CALHOUN,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,33601,33584,685,718,765,1455,428,751,501,398,313,549,1411,923,653,158,1475,457,401,326,285,642,520,314,561,954,757,306,269,353,1173,485,850,491,834,897,486,500,501,955,727,271,493,469,275,438,356,1593,821,718,525,1029,403,505,461
08,CALHOUN,GOVERNOR,DEM,"Siegelman, Don",17718,17711,298,352,411,658,415,452,448,173,295,479,593,397,342,93,693,299,161,221,132,254,261,156,286,362,441,179,254,186,530,239,361,443,480,512,229,270,272,415,336,191,281,277,179,201,173,719,372,244,273,582,178,224,439
08,CALHOUN,GOVERNOR,LIB,"Sophocleus, John P.",448,448,9,8,13,18,3,11,3,5,4,0,14,8,9,2,22,6,9,5,5,7,4,7,13,17,15,3,1,7,18,16,6,5,17,13,1,3,8,9,7,3,7,7,3,3,10,17,8,10,12,15,5,13,4
08,CALHOUN,GOVERNOR,REP,"Riley, Bob",15190,15180,362,358,336,768,10,283,45,218,13,65,792,510,295,62,749,150,223,96,147,377,248,151,255,569,296,124,13,154,614,222,473,43,334,367,254,223,215,526,379,77,203,177,92,232,171,848,438,459,238,429,218,265,14
08,CALHOUN,GOVERNOR,WI,WRITE-IN,62,62,3,0,1,3,0,3,0,0,0,1,5,3,2,0,6,0,2,1,0,2,1,0,1,3,0,0,0,0,0,2,3,0,0,3,1,0,3,1,1,0,0,1,0,1,0,2,2,1,1,0,1,2,0
08,CALHOUN,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",17836,17829,312,331,388,667,412,475,445,184,289,478,636,422,323,90,703,303,168,230,124,258,263,149,305,402,441,183,251,185,558,256,341,431,456,476,242,268,275,411,339,186,279,271,174,191,153,751,390,269,277,576,193,213,436
08,CALHOUN,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",559,559,11,18,15,20,4,10,4,9,4,6,15,8,12,2,28,6,9,5,9,8,14,7,5,14,15,4,2,7,18,23,12,6,24,20,9,9,5,15,12,5,11,8,6,4,6,26,12,5,14,20,2,12,4
08,CALHOUN,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",14567,14557,340,356,347,737,7,255,44,200,16,49,741,480,303,60,723,137,219,86,143,361,223,158,242,511,291,116,11,148,580,188,474,44,339,381,229,212,213,515,363,75,191,181,89,237,185,790,403,437,227,412,201,272,15
08,CALHOUN,LIEUTENANT GOVERNOR,WI,WRITE-IN,62,62,1,1,0,3,0,2,1,1,0,0,0,2,1,0,6,0,1,1,2,0,3,0,0,4,1,1,0,0,1,4,4,1,1,4,0,1,0,2,2,0,0,0,0,0,1,2,0,4,0,2,1,1,0
08,CALHOUN,UNITED STATES SENATOR,DEM,"Parker, Susan",12784,12782,208,229,263,443,397,348,419,130,271,435,435,280,200,66,474,253,120,177,77,153,191,96,188,223,324,129,231,133,361,187,229,401,320,340,160,190,182,257,220,145,194,189,118,142,115,486,237,160,188,401,125,124,418
08,CALHOUN,UNITED STATES SENATOR,LIB,"Allen, Jeff",568,568,6,14,24,25,3,13,5,4,5,8,8,8,17,2,31,7,13,4,4,10,9,11,8,14,8,6,5,10,17,23,8,6,19,17,4,6,6,15,14,8,11,8,6,6,8,29,8,9,14,19,4,14,7
08,CALHOUN,UNITED STATES SENATOR,REP,"Sessions, Jeff",19680,19665,451,460,466,957,21,385,68,258,35,81,951,626,422,85,954,182,264,140,201,465,302,205,355,699,412,168,28,198,783,265,601,74,486,523,316,292,304,674,478,115,278,262,148,285,224,1056,558,542,312,595,269,358,28
