Country,Howell Heflin,Mrs. Frank Ross Stewart
Autauga,5052,1728
Baldwin,5437,1617
Barbour,3876,884
Bibb,2993,758
Blount,4152,988
Bullock,2837,443
Butler,4186,1076
Calhoun,12989,2711
Chambers,6417,929
Cherokee,4186,611
Chilton,6160,1500
Choctaw,4393,705
Clarke,5332,987
Clay,2617,625
Cleburne,3462,916
Coffee,5652,1211
Colbert,7943,1678
Conecuh,2948,643
Coosa,2276,610
Covington,6309,1799
Crenshaw,3430,821
Cullman,9623,2251
Dale,4106,1212
Dallas,7714,1626
Dekalb,6918,1254
Elmore,5056,1791
Escambia,5024,1196
Etowah,15240,2510
Fayette,4795,1149
Franklin,5455,1070
Geneva,3965,889
Greene,3736,527
Hale,3247,760
Henry,3677,662
Houston,9308,2868
Jackson,6978,933
Jefferson,72765,16799
Lamar,4257,903
Lauderdale,14341,2901
Lawrence,5878,745
Lee ,7395,1912
Limestone,10579,1676
Lowndes,2300,447
Macon,4504,610
Madison,28829,4633
Marengo,5517,903
Marion,7851,1553
Marshall,10102,1841
Mobile,36701,10499
Monroe,24125,8100
Montgomery,4315,1041
Morgan,14137,3308
Perry,3438,546
Pickens,5330,1204
Pike,4792,920
Randolph,3526,669
Russell,2423,431
Shelby,5752,1971
St. Clair,3854,1197
Sumter,4335,614
Talladega,7350,2743
Tallapoosa,7741,2066
Tuscaloosa,18658,3376
Walker,11849,3422
Washington,5369,1031
Wilcox,3530,1134
Winston,1844,375
Calculated,540876,123508
Reported,540876,123508
