County,George Wallace (D),Frank Walls (I)
Autauga,1594,15
Baldwin,5142,271
Barbour,2226,16
Bibb,1802,6
Blount ,2504,52
Bullock,1452,12
Butler,2418,16
Calhoun,6762,301
Chambers,2857,64
Cherokee,1727,14
Chilton,3553,44
Choctaw,1114,14
Clarke,1948,34
Clay,1310,16
Cleburne,898,24
Coffee,4168,63
Colbert,5355,224
Conecuh,2332,20
Coosa,950,16
Covington,4070,63
Crenshaw,1859,10
Cullman,6449,43
Dale,3103,38
Dallas,3995,44
Dekalb,6062,47
Elmore,3239,72
Escambia,3346,57
Etowah,10248,476
Fayette,1633,12
Franklin,3588,178
Geneva,2428,29
Greene,1077,21
Hale,1452,20
Henry,1641,15
Houston,4613,268
Jackson,3287,24
Jefferson,59432,3938
Lamar,1310,29
Lauderdale,6373,235
Lawrence,2167,19
Lee,2631,164
Limestone,2958,79
Lowndes,825,7
Macon,2206,44
Madison,8768,1132
Marengo,1753,35
Marion,2312,21
Marshall,4255,202
Mobile,27233,1411
Monroe,2303,22
Montgomery,15379,394
Morgan,7515,325
Perry,1337,19
Pickens,1669,23
Pike,2446,32
Randolph,1751,16
Russell,1399,47
Shelby,3191,108
St. Clair,3183,65
Sumter,1194,14
Talladega,5481,107
Tallapoosa,2615,51
Tuscaloosa,7731,410
Walker,7532,150
Washington,1458,22
Wilcox,1083,8
Winston,2295,21
Calculated,303987,11789
Reported,303987,11789
