Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70
Office,,% of Vote,Total Votes Reported,Autauga,Baldwin,Barbour,Bibb,Blount,Bullock,Butler,Calhoun,Chambers,Cherokee,Chilton,Choctaw,Clarke,Clay,Cleburne,Coffee,Colbert,Conecuh,Coosa,Covington,Crenshaw,Cullman,Dale,Dallas,DeKalb,Elmore,Escambia,Etowah,Fayette,Franklin,Geneva,Greene,Hale ,Henry,Houston,Jackson,Jefferson,Lamar,Lauderdale,Lawrence,Lee,Limestone,Lowndes,Macon,Madison,Marengo,Marion,Marshall,Mobile,Monroe,Montgomery,Morgan,Perry,Pickens,Pike ,Randolph,Russell,St. Clair,Shelby,Sumter,Talladega,Tallapoosa,Tuscaloosa,Walker,Washington,Wilcox,Winston
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lt. Governor,(HA) Hilbun Adams,0.02864342364253524,12413,136,884,17,53,319,3,17,375,62,48,93,2,36,25,47,207,91,4,10,121,8,324,404,10,166,214,53,328,33,42,253,2,2,58,425,45,1708,24,212,38,409,131,3,11,560,8,63,265,1243,44,257,319,3,17,50,53,79,331,744,4,157,97,321,132,8,6,199
Lt. Governor,Mo Brooks,0.15638852417026836,67773,417,1708,31,169,1791,3,29,841,53,91,346,1,56,81,49,477,537,19,26,141,19,2801,564,15,1095,755,55,1189,163,226,258,6,7,40,628,450,7205,70,1128,441,582,2545,9,10,17478,20,309,3553,3416,52,1494,4988,4,41,102,68,40,1667,3184,2,606,122,1414,753,5,7,1321
Lt. Governor,Luther Strange,0.4812547448674668,208558,2635,15909,189,938,3690,47,326,5286,238,391,2948,7,1051,545,234,1832,1361,103,215,1588,142,3919,2523,175,1821,3933,1030,4340,315,234,2047,30,38,336,4720,440,42224,147,2336,393,2603,1872,57,111,7011,229,515,3113,27510,487,8356,6199,49,183,1000,299,101,5180,16600,17,2999,1832,7439,1517,79,114,2410
Lt. Governor,"George C. Wallace, Jr.",0.33371330731972965,144619,3711,6406,338,707,3276,82,440,3711,1096,371,2164,20,825,678,418,1624,1025,83,265,2310,165,2783,2990,221,1646,5998,435,3655,316,301,2308,27,55,435,3005,393,18557,313,1684,391,4820,1656,86,157,3882,290,452,2658,10892,345,11451,4570,48,137,1493,826,707,3613,6901,64,2148,2024,6234,1472,53,105,2307
