County,Julian McPhillips,Susan Parker,Wayne Sowell,Unnamed: 4,Unnamed: 5,Unnamed: 6
Autauga,1357,870,119,,,
Baldwin,1720,1577,305,,,
Barbour,2283,2021,513,,,
Bibb,904,1219,214,,,
Blount,495,814,119,,,
Bullock,1556,1069,164,,,
Butler,2882,1973,292,,,
Calhoun,2742,3537,538,,,
Chambers,1270,1724,395,,,
Cherokee,1378,2324,695,,,
Chilton,1092,1214,185,,,
Choctaw,1665,2393,631,,,
Clarke,2430,1863,574,,,
Clay,571,862,139,,,
Cleburne,580,1269,491,,,
Coffee,1725,1745,484,,,
Colbert,2099,3099,591,,,
Conecuh,1405,1733,396,,, 
Coosa,1034,1353,188,,,
Covington,1425,1528,447,,,
Crenshaw,1523,1154,169,,,
Cullman,5155,4155,884,,,
Dale,967,1090,276,,,
Dallas,5544,3981,875,,,
Dekalb,1455,2635,817,,,
Elmore,1750,964,127,,,
Escambia,2087,2124,546,,,
Etowah,2756,3886,617,,,
Fayette,1704,2830,580,,,
Franklin,1225,3754,1031,,,
Geneva,449,378,125,,,
Greene,979,1906,220,,,
Hale,2830,2206,266,,,
Henry,1508,1365,547,,,
Houston,2927,1924,879,,,
Jackson,748,1837,424,,,
Jefferson,23884,24219,4503,,,
Lamar,939,2066,629,,,
Lauderdale,3005,7040,1358,,,
Lawrence,1582,5037,869,,,
Lee,2602,1962,256,,,
Limestone,1152,4660,603,,,
Lowndes,2304,1028,156,,,
Macon,3286,1093,139,,,
Madison,5442,9879,1413,,,
Marengo,1982,2372,453,,,
Marion,1656,4148,800,,,
Marshall,1752,2818,631,,,
Mobile,12540,6689,1253,,,
Monroe,1410,991,340,,,
Montgomery,12090,4193,427,,,
Morgan,1693,7311,509,,,
Perry,1872,1944,295,,,
Pickens,1453,2722,535,,,
Pike,808,608,89,,,
Randolph,923,1329,407,,,
Russell,2022,2012,563,,,
St. Clair,1077,1854,221,,,
Shelby,898,1058,192,,,
Sumter,1098,3094,427,,,
Talladega,2424,3787,384,,,
Tallapoosa,2327,2367,356,,,
Tuscaloosa,3962,4938,704,,,
Walker,4833,5640,1268,,,
Washington,2336,1736,693,,,
Wilcox,2333,1519,296,,,
Winston,317,488,87,,,
Calculated,170222,190978,36719,,,
Reported,170222,190978,36719,,,
