Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22
,,,,,Total Number of Votes,ABSENTEE VOTERS,AIRPORT,COMMUNITY LIFE BUILDING #1,COMMUNITY LIFE BUILDING #2,FIRE STATION HWY 219,HINTON HALL,METAL BLDG - HEIBERGER GROCERY,NORTH PERRY FIRE STATION,OLD NATIONAL GUARD ARMORY #1,OLD NATIONAL GUARD ARMORY #2,OLD NATIONAL GUARD ARMORY #3,PINETUCKEY,RADFORDVILLE,SEVERE,UNIONTOWN CITY HALL #1,UNIONTOWN CITY HALL #2,WESTSIDE SCHOOL
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,
53,PERRY,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,4984,831,203,292,496,216,77,218,153,609,569,340,99,124,78,192,185,302
53,PERRY,GOVERNOR,DEM,"Siegelman, Don",3613,682,123,278,477,127,76,60,66,523,291,201,38,69,20,175,147,260
53,PERRY,GOVERNOR,LIB,"Sophocleus, John P.",9,0,0,1,1,1,0,1,0,1,3,0,0,0,1,0,0,0
53,PERRY,GOVERNOR,REP,"Riley, Bob",1335,148,78,13,18,86,0,155,86,83,269,135,59,54,57,17,37,40
53,PERRY,GOVERNOR,WI,WRITE-IN,6,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,1,0
53,PERRY,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3739,707,128,268,463,134,76,86,68,522,342,216,47,74,29,172,145,262
53,PERRY,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",27,3,0,6,5,0,0,1,0,2,3,0,0,0,1,2,4,0
53,PERRY,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",1134,118,70,12,18,79,0,126,82,79,217,116,45,45,43,15,34,35
