County,Albert McDonald (D)
Autauga,5475
Baldwin,12004
Barbour,3919
Bibb,3304
Blount,5759
Bullock,3068
Butler,3873
Calhoun,16338
Chambers,4947
Cherokee,4229
Chilton,7255
Choctaw,2974
Clarke,4293
Clay,2182
Cleburne,1474
Coffee,5472
Colbert,11106
Conecuh,2808
Coosa,2702
Covington,4550
Crenshaw,2283
Cullman,12247
Dale,4574
Dallas,11618
Dekalb,9473
Elmore,7695
Escambia,3722
Etowah,19836
Fayette,4084
Franklin,4690
Geneva,3039
Greene,3561
Hale,3560
Henry,2088
Houston,14296
Jackson,5962
Jefferson,149292
Lamar,2365
Lauderdale,14218
Lawrence,5219
Lee,9812
Limestone,7664
Lowndes,3466
Macon,6065
Madison,38448
Marengo,5172
Marion,5955
Marshall,7817
Mobile,49877
Monroe,3863
Montgomery,41880
Morgan,20493
Perry,3565
Pickens,4868
Pike,4249
Randolph,3268
Russell,4454
Shelby,14450
St. Clair,7337
Sumter,4620
Talladega,10302
Tallapoosa,5269
Tuscaloosa,23815
Walker,11320
Washington,4206
Wilcox,3985
Winston,4406
Calculated,702180
Reported,702180
