County,James Folsom,Joe McCorquodale,Reuben McKinley,George McMillan,George Wallace
Autauga,98,2801,108,1427,3122
Baldwin,233,5998,352,4084,7349
Barbour,113,952,152,988,6074
Bibb,98,1581,26,1147,3030
Blount,100,1866,76,1992,3784
Bullock,99,919,141,1245,2552
Butler,105,1786,125,2079,2584
Calhoun,282,6174,183,8267,11058
Chambers,167,2011,192,2838,4155
Cherokee,198,790,30,1498,4395
Chilton,191,2249,55,2250,4302
Choctaw,114,2630,22,639,4236
Clarke,87,5085,67,802,2960
Clay,139,1255,54,1337,2803
Cleburne,94,849,52,1583,2766
Coffee,192,2375,138,2739,4712
Colbert,343,2002,105,6443,7667
Conecuh,125,1200,48,1522,2865
Coosa,81,906,61,1176,1493
Covington,196,2829,58,2563,5568
Crenshaw,89,1390,36,1285,2967
Cullman,442,3455,102,3741,6972
Dale,173,2432,121,2069,5615
Dallas,269,3898,355,5551,4677
Dekalb,263,2012,111,3707,7811
Elmore,155,3918,161,2718,4754
Escambia,114,2245,83,2149,6052
Etowah,357,5174,188,9559,13773
Fayette,204,1529,55,1750,4052
Franklin,250,1107,71,2508,6257
Geneva,141,1813,45,1755,5007
Greene,72,722,26,1802,1972
Hale,108,1148,156,1748,2573
Henry,97,928,85,1550,3041
Houston,310,4941,126,6132,8746
Jackson,408,1430,45,3074,7867
Jefferson,2128,46737,616,59897,39162
Lamar,175,1086,47,922,4774
Lauderdale,338,3445,99,7367,9650
Lawrence,183,998,34,2409,5859
Lee,216,3078,61,6779,4819
Limestone,290,2491,59,3210,6668
Lowndes,75,967,139,1042,2394
Macon,154,1228,219,2789,3144
Madison,534,10124,531,14881,14999
Marengo,180,2779,54,3112,3694
Marion,254,1550,61,2071,7901
Marshall,461,3638,92,4878,9057
Mobile,1563,24713,2017,18059,32109
Monroe,49,2168,39,1761,3892
Montgomery,663,17275,734,15374,13829
Morgan,418,4788,112,7524,10359
Perry,107,1613,159,2254,2303
Pickens,162,1667,47,2016,3936
Pike,106,2284,145,2162,4184
Randolph,295,1245,73,2121,3727
Russell,359,955,85,2585,5245
Shelby,209,3042,66,2360,4452
St. Clair,223,5910,248,4448,5148
Sumter,154,1164,40,1287,3495
Talladega,346,4247,141,5231,6877
Tallapoosa,269,3441,217,3573,5265
Tuscaloosa,507,7440,530,10509,11769
Walker,267,2581,81,3688,7566
Washington,35,1840,20,1041,4491
Wilcox,63,1319,31,2763,3279
Winston,43,401,9,441,1811
Calculated,17333,250614,10617,296271,425469
Reported,17333,250614,10617,296271,425469
