Unnamed: 0,Jeremiah Denton,Armistead Selden
Autauga,240,123
Baldwin,2715,731
Barbour,121,104
Bibb,135,118
Blount,608,274
Bullock,9,14
Butler,126,46
Calhoun,928,669
Chambers,115,81
Cherokee,25,15
Chilton,471,461
Choctaw,0,3
Clarke,123,34
Clay,48,27
Cleburne,10,9
Coffee,376,96
Colbert,163,59
Conecuh,129,20
Coosa,21,5
Covington,118,141
Crenshaw,244,113
Cullman,560,503
Dale,264,118
Dallas,494,722
Dekalb,497,585
Elmore,447,170
Escambia,383,114
Etowah,777,421
Fayette,210,92
Franklin,88,59
Geneva,53,39
Greene,7,12
Hale,58,451
Henry,22,29
Houston,547,355
Jackson,47,48
Jefferson,30053,21268
Lamar,20,4
Lauderdale,607,198
Lawrence,44,14
Lee ,429,314
Limestone,210,193
Lowndes,33,22
Macon,46,19
Madison,2452,1071
Marengo,165,429
Marion,544,88
Marshall,1146,329
Mobile,12135,1933
Monroe,106,23
Montgomery,4974,2903
Morgan,559,404
Perry,77,282
Pickens,65,84
Pike,310,333
Randolph,69,37
Russell,33,7
St. Clair,1135,383
Shelby,1952,1146
Sumter,29,103
Talladega,493,671
Tallapoosa,254,153
Tuscaloosa,1166,1414
Walker,390,341
Washington,82,13
Wilcox,18,10
Winston,2933,775
Total,73708,41825
