 ,Unnamed: 1,Dukakis(D),Paul(L),Bush(R),Fulani(I),Warren(I),Winn(I)
,,Bentson,Marrou,Quayle,Dattner,Mikells,Porster
Autauga,,3667,143,7828,7,6,3
Baldwin,,9271,336,25933,21,18,19
Barbour,,3836,83,4958,11,6,5
Bibb,,2244,7,2885,2,6,2
Blount,,4485,294,8754,5,6,4
Bullock,,3122,24,1421,8,3,6
Butler,,3465,61,3923,7,2,1
Calhoun,,12451,360,19806,1325,19,7
Chambers,,5103,115,7694,21,11,12
Cherokee,,3176,48,2868,1,2,6
Chilton,,3820,26,8761,12,2,2
Choctaw,,3491,5,3629,1,3,2
Clarke,,4217,84,5708,2,4,5
Clay,,1602,45,3496,91,4,0
Cleburne,,1383,26,3071,3,5,2
Coffee,,4319,126,8890,15,1,4
Colbert,,10397,208,7775,11,5,8
Conecuh,,3022,43,3256,16,16,4
Coosa,,1860,15,2405,2,1,0
Covington,,3845,55,8130,30,4,9
Crenshaw,,1836,15,2617,5,3,2
Cullman,,8517,132,14351,176,12,9
Dale,,3476,131,9266,19,7,6
Dallas,,9660,107,7630,18,5,3
Dekalb,,7333,106,11478,14,1,8
Elmore,,4501,160,10852,13,4,9
Escambia,,4020,66,6807,35,14,12
Etowah,,17762,155,17828,114,19,13
Fayette,,3186,15,4338,6,9,3
Franklin,,4961,121,5146,8,1,4
Geneva,,2685,45,5703,27,7,5
Greene,,3295,29,1048,3,2,0
Hale,,3187,35,2414,10,6,0
Henry,,2206,13,3613,6,5,1
Houston,,7001,44,19989,15,10,2
Jackson,,7418,147,6090,8,0,6
Jefferson,,107766,781,148879,282,62,63
Lamar,,2274,5,3214,1,0,2
Lauderdale,,12862,325,12942,11,14,26
Lawrence,,4646,83,3616,63,9,0
Lee,,9078,393,17180,19,8,5
Limestone,,5455,186,9086,23,5,5
Lowndes,,3328,31,1405,7,3,2
Macon,,6351,40,1304,53,5,3
Madison,,25800,353,53575,108,31,27
Marengo,,4402,65,4241,14,3,0
Marion,,4505,17,5955,4,8,8
Marshall,,7357,264,12148,66,102,10
Mobile,,45524,766,72203,74,22,8
Monroe,,3509,45,5379,17,1,3
Montgomery,,28709,471,41131,66,10,4
Morgan,,10594,73,18679,24,15,12
Perry,,3574,52,2107,13,10,2
Pickens,,3107,11,3851,4,5,4
Pike,,3813,90,5897,7,12,2
Randolph,,2462,128,4625,1,4,4
Russell,,6589,134,6333,16,7,7
St. Clair,,4335,36,10604,8,7,7
Shelby ,,7138,72,27052,26,13,13
Sumter,,4390,11,2212,7,6,4
Talladega,,8291,126,12973,76,18,22
Tallapoosa,,4598,176,8502,9,6,7
Tuscaloosa,,18166,118,27396,46,20,12
Walker,,11338,156,11011,179,9,7
Washington,,3402,8,3741,8,2,2
Wilcox,,3369,3,1739,2,3,2
Winston,,2954,16,6235,9,7,4
Totals,,549506,8460,815576,3311,656,461
% of Total=,,0.39877936384681817,0.0061394660261108736,0.5918677474836173,0.002402809930550012,0.0004760626138450039,0.00033455009905876035
Total Votes=,,1377970,,,,,
