County,Tim James,Bob Riley,Steve Windom,Unnamed: 4
Autauga,740,5450,961,
Baldwin,3025,16974,5497,
Barbour,33,276,87,
Bibb,116,1496,152,
Blount,664,4869,1235,
Bullock,5,51,6,
Butler,232,196,39,
Calhoun,341,7860,779,
Chambers,117,1274,73,
Cherokee,13,170,40,
Chilton,497,4902,571,
Choctaw,8,36,17,
Clarke,157,707,379,
Clay,64,2341,76,
Cleburne,33,623,62,
Coffee,434,1565,596,
Colbert,118,1217,382,
Conecuh,24,121,68,
Coosa,42,638,41,
Covington,240,1427,497,
Crenshaw,100,171,33,
Cullman,576,5802,1350,
Dale,351,1567,511,
Dallas,50,458,115,
Dekalb,201,2050,514,
Elmore,847,6942,1029,
Escambia,83,509,216,
Etowah,404,4619,1008,
Fayette,48,312,147,
Franklin,26,290,78,
Geneva,631,2186,823,
Greene,17,60,16,
Hale,5,74,17,
Henry,43,229,96,
Houston,759,4031,1482,
Jackson,102,761,208,
Jefferson,4257,46094,11247,
Lamar,22,123,59,
Lauderdale,263,1974,670,
Lawrence,43,280,64,
Lee,358,6656,496,
Limestone,342,2397,650,
Lowndes,66,196,44,
Macon,24,219,32,
Madison,1819,16847,3207,
Marengo,28,361,111,
Marion,89,878,302,
Marshall,438,4615,940,
Mobile,4590,26686,13440,
Monroe,261,1272,540,
Montgomery,1804,17350,2505,
Morgan,821,6436,1483,
Perry,4,71,22,
Pickens,26,160,39,
Pike,147,1633,235,
Randolph,12,714,51,
Russell,23,861,54,
Shelby,1408,16058,3531,
St. Clair,660,7832,1241,
Sumter,7,20,7,
Talladega,178,4106,358,
Tallapoosa,149,3615,216,
Tuscaloosa,1320,8426,1682,
Walker,138,1450,359,
Washington,51,170,107,
Wilcox,46,107,45,
Winston,331,2990,804,
Calculated,30871,262851,63742,
Reported,30871,262851,63775,357497.0
