 ,Albert Brewer,George Wallace
Autauga,3697,4725
Baldwin,6396,12534
Barbour,4122,5789
Bibb,1962,3476
Blount ,4492,4572
Bullock,3351,2050
Butler,2937,4874
Calhoun,13639,16261
Chambers,5028,7045
Cherokee,2383,3977
Chilton,3534,5273
Choctaw,3098,4256
Clarke,4124,5872
Clay,2581,3344
Cleburne,2103,3092
Coffee,4357,7381
Colbert,7889,9086
Conecuh,2290,3613
Coosa,2095,2145
Covington,4560,10314
Crenshaw,2220,3828
Cullman,9667,8495
Dale,3641,7145
Dallas,10903,7090
Dekalb,6736,6022
Elmore,5077,7435
Escambia,4306,7510
Etowah,15088,16102
Fayette,3474,4013
Franklin,4495,5235
Geneva,2219,6889
Greene,2721,1172
Hale,3453,2439
Henry,1966,3585
Houston,5515,13480
Jackson,4211,8084
Jefferson,115632,75098
Lamar,2051,4874
Lauderdale,9429,10875
Lawrence,3690,6089
Lee,7513,6875
Limestone,5007,6775
Lowndes,2966,1306
Macon,5769,1529
Madison,27587,21429
Marengo,5543,4539
Marion,4202,6229
Marshall,8166,9250
Mobile,34020,49131
Monroe,3242,4499
Montgomery,27996,21142
Morgan,13601,10737
Perry,3929,2374
Pickens,3370,4030
Pike,4138,5249
Randolph,2750,4785
Russell,4434,6760
Shelby,5104,5131
St. Clair,4190,6211
Sumter,3715,1867
Talladega,9780,10488
Tallapoosa,5931,7029
Tuscaloosa,15937,15324
Walker,8797,13960
Washington,2126,4537
Wilcox,3734,2277
Winston,1272,1230
Calculated,525951,559832
Reported,525951,559832
