Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,Total Number of Votes,ABSENTEE VOTERS,ASBURY KENT COMMUNITY CENTER,BLUE RIDGE VOTING HOUSE,BUYCK FIRE DEPARTMENT,COOSADA CITY HALL,CRENSHAW PARK,DEATSVILLE MASONIC LODGE,ECLECTIC FIRE STATION,FAIN PARK - WETUMPKA,FITZPATRICK COMMUNITY HOUSE,FRIENDSHIP FIRE DEPARTMENT,HOLTVILLE FIRE STATION,KOWALIGA FIRE DEPARTMENT,LIGHTWOOD FIRE STATION,MILLBROOK MEMORIAL PARK .1,MILLBROOK MEMORIAL PARK .2,MULDER MEM METHODIST CHURCH .1,MULDER MEM METHODIST CHURCH .2,PLEASANT HILL COMMUNITY CENTER,REDHILL VOTING HOUSE,ROCK SPRINGS VOTING HOUSE,SANTUCK COMMUNITY CENTER,SEMAN COMMUNITY CENTER,SOUTHSIDE SCHOOL TALLASSEE,TALLASSEE RECREATION CENTER,TITUS COMMUNITY CENTER,VICTORY BAPTIST SCHOOL .1,VICTORY BAPTIST SCHOOL .2,WALLSBORO FIRE DEPARTMENT,WEOKA VOTING HOUSE,WETUMPKA ARMORY,CHALLENGED
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ELMORE,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,21301,424,458,736,647,581,318,238,674,919,628,411,1111,501,490,977,766,664,1050,609,369,321,684,498,200,1161,279,1569,1360,716,263,1679,0
26,ELMORE,GOVERNOR,DEM,"Siegelman, Don",6830,115,148,179,198,243,229,50,256,425,216,172,289,137,153,351,398,147,263,148,102,96,222,137,168,383,86,426,364,221,57,451,0
26,ELMORE,GOVERNOR,LIB,"Sophocleus, John P.",510,11,5,11,24,17,9,7,19,17,7,11,25,15,14,17,10,15,18,16,10,6,15,13,5,38,11,36,30,32,7,39,0
26,ELMORE,GOVERNOR,REP,"Riley, Bob",13834,310,305,543,420,319,77,181,395,472,403,224,789,345,319,606,352,496,761,442,254,218,439,346,26,723,180,1099,960,454,198,1178,0
26,ELMORE,GOVERNOR,WI,WRITE-IN,46,1,0,3,1,1,0,0,2,2,2,2,1,1,1,2,2,1,4,1,0,0,1,0,1,4,0,6,5,1,0,1,0
26,ELMORE,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",8675,155,176,268,243,269,239,78,303,498,266,210,386,185,193,396,455,214,340,212,139,130,312,173,165,536,105,548,473,302,82,624,0
26,ELMORE,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",369,10,9,7,13,13,6,8,24,14,5,8,19,4,15,11,6,10,13,12,5,5,15,15,4,11,9,17,20,18,12,31,0
26,ELMORE,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",12035,270,266,455,384,287,70,151,334,393,356,189,691,308,273,564,292,435,687,377,221,184,345,307,25,596,158,995,861,387,165,1009,0
