County,Doug Carter,Joe Keith,Albert Lee Smith,Clint Wilkes
Autauga,14.0,11.0,46.0,5
Baldwin,1388.0,649.0,2091.0,816
Barbour,8.0,6.0,10.0,1
Bibb,6.0,4.0,39.0,4
Blount,78.0,20.0,157.0,9
Bullock,6.0,3.0,5.0,3
Butler,19.0,9.0,33.0,1
Calhoun,109.0,48.0,383.0,45
Chambers,26.0,21.0,26.0,4
Cherokee,5.0,4.0,17.0,3
Chilton,79.0,48.0,415.0,17
Choctaw,9.0,3.0,15.0,1
Clarke,129.0,60.0,194.0,39
Clay,5.0,2.0,7.0,0
Cleburne,11.0,4.0,14.0,1
Coffee,50.0,29.0,69.0,25
Colbert,25.0,8.0,53.0,5
Conecuh,11.0,5.0,20.0,1
Coosa,3.0,3.0,14.0,0
Covington,5.0,7.0,20.0,3
Crenshaw,22.0,12.0,29.0,10
Cullman,3.0,3.0,16.0,2
Dale,49.0,22.0,35.0,18
Dallas,36.0,16.0,62.0,9
Dekalb,58.0,51.0,282.0,22
Elmore,17.0,32.0,48.0,9
Escambia,35.0,11.0,89.0,9
Etowah,67.0,49.0,331.0,32
Fayette,2.0,1.0,33.0,0
Franklin,9.0,6.0,30.0,5
Geneva,22.0,10.0,26.0,8
Greene,0.0,0.0,0.0,0
Hale,1.0,1.0,9.0,0
Henry,3.0,1.0,2.0,0
Houston,147.0,67.0,235.0,84
Jackson,14.0,5.0,10.0,5
Jefferson,878.0,828.0,7563.0,189
Lamar,0.0,0.0,0.0,0
Lauderdale,74.0,24.0,142.0,22
Lawrence,4.0,3.0,2.0,1
Lee ,122.0,70.0,152.0,25
Limestone,173.0,63.0,260.0,35
Lowndes,1.0,1.0,6.0,1
Macon,6.0,2.0,8.0,1
Madison,259.0,145.0,577.0,71
Marengo,10.0,11.0,55.0,3
Marion,5.0,4.0,38.0,1
Marshall,41.0,17.0,152.0,31
Mobile,2099.0,1361.0,5596.0,1593
Monroe,20.0,14.0,43.0,11
Montgomery,553.0,798.0,1462.0,170
Morgan,95.0,61.0,198.0,34
Perry,12.0,12.0,19.0,4
Pickens,3.0,2.0,28.0,0
Pike,20.0,6.0,19.0,12
Randolph,9.0,6.0,22.0,3
Russell,23.0,21.0,10.0,6
Shelby,76.0,23.0,426.0,8
St. Clair,329.0,195.0,1725.0,51
Sumter,0.0,1.0,2.0,0
Talladega,45.0,22.0,292.0,7
Tallapoosa,9.0,22.0,42.0,3
Tuscaloosa,104.0,67.0,414.0,25
Walker,46.0,29.0,162.0,21
Washington,13.0,3.0,17.0,8
Wilcox,11.0,10.0,18.0,2
Winston,556.0,119.0,2989.0,110
Total,8067.0,5171.0,27304.0,3644
Certified,8067.0,5171.0,27304.0,3643
,,,, 
