Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53
,,,,,Total Number of Votes,Absentee,001- Graham ,002- Cedron ,003- Cedron,004- Corinth,005- Caver's Grove,006- Swagg,007- Woodland,008- Woodland,009- Bethel,010- Moore's Store,011- Potash,012- Potash,013- Wehadkee,014- Omaha,015 6-1 City Hall,016 6-2 City Hall,017 6-3A City Hall,018 6-3B City Hall,019- New Hope,020- Midway,021- Midway,022- Midway,023- Midway,024- Ophelia,025- Wadley,026- Wadley,27 Level Road,28 Armory,29 Armory,30 Armory,31 Armory,32 Armory,33 Armory,34 Armory,35 Armory,36 Armory,37 Armory,38 Armory,39 Armory,40 Armory,41 Armory,42 Rock Mills,43 Rock Mills,44 Wilsons Store,45 Bacon Level,46 Wesley Chapel,47 Pine Hill
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,RANDOLPH,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,7740,325,115,119,82,193,164,160,198,231,163,160,217,118,70,166,264,190,206,202,182,135,28,65,0,150,264,58,237,61,70,140,360,119,66,14,63,196,336,307,151,109,414,125,124,148,145,110,220
56,RANDOLPH,GOVERNOR,DEM,"Siegelman, Don",3302,183,43,81,39,61,65,73,90,70,50,72,67,30,29,48,127,79,91,94,51,76,12,40,0,43,95,34,91,9,27,46,145,61,25,2,26,89,148,100,131,77,302,37,38,51,47,39,68
56,RANDOLPH,GOVERNOR,LIB,"Sophocleus, John P.",100,1,2,1,1,9,5,3,4,1,6,2,4,2,1,2,3,2,5,0,5,1,0,0,0,4,0,0,3,2,0,1,4,1,1,0,0,1,3,4,1,1,3,1,3,1,1,1,4
56,RANDOLPH,GOVERNOR,REP,"Riley, Bob",4210,135,69,36,40,121,90,84,102,153,100,80,140,82,40,115,127,105,109,107,117,55,15,24,0,98,168,21,143,49,42,91,210,56,39,12,36,105,179,201,16,31,101,86,79,90,95,69,147
56,RANDOLPH,GOVERNOR,WI,WRITE-IN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
56,RANDOLPH,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3880,204,41,74,48,86,70,73,98,88,64,77,82,48,33,72,140,92,108,105,72,82,10,40,0,56,124,36,117,14,34,59,186,74,34,6,37,100,188,135,130,81,332,49,51,57,56,44,73
56,RANDOLPH,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",132,3,3,4,0,3,6,5,4,3,7,3,4,1,1,6,4,1,6,3,2,0,1,1,0,6,5,1,4,3,1,0,6,0,0,0,1,1,4,5,1,6,1,3,3,2,0,1,7
56,RANDOLPH,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",3240,109,61,34,27,87,73,77,74,120,76,62,107,58,30,75,94,85,78,83,95,42,12,19,0,77,115,16,105,38,33,74,158,38,28,8,20,88,133,158,14,20,73,64,58,78,81,60,125
