Unnamed: 0,Mrs. J. Allen,Gene Myracle,Donald Stewart,Ted Taylor,Dan Wiley,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Autauga,1345,130,826,4572,269,,,,
Baldwin,7527,154,3115,666,7184,,,,
Barbour,3494,128,1221,598,298,,,,
Bibb,2769,35,1804,509,134,,,,
Blount,3134,119,2997,348,176,,,,
Bullock,1268,56,814,741,120,,,,
Butler,2658,83,1498,1147,261,,,,
Calhoun,4640,656,1384,131,1320,,,,
Chambers,6663,160,1496,626,206,,,,
Cherokee,2951,123,1163,212,253,,,,
Chilton,2835,310,2187,950,320,,,,
Choctaw,3125,76,1260,406,373,,,,
Clarke,3302,89,1573,462,1184,,,,
Clay,1860,236,1985,173,174,,,,
Cleburne,1866,125,1809,133,121,,,,
Coffee,4108,126,3602,1279,297,,,,
Colbert,3752,298,5293,364,1342,,,,
Conecuh,2021,38,1032,680,455,,,,
Coosa,2061,101,1491,287,115,,,,
Covington,3723,129,3549,1244,570,,,,
Crenshaw,1961,208,1101,914,252,,,,
Cullman,5197,528,4573,638,907,,,,
Dale,400,134,2730,807,543,,,,
Dallas,4102,244,4110,2395,225,,,,
Dekalb,6716,193,2639,515,381,,,,
Elmore,3454,119,2649,2858,620,,,,
Escambia,4599,68,1672,464,1858,,,,
Etowah,9272,1911,8554,944,2468,,,,
Fayette,2562,34,926,2730,90,,,,
Franklin,3095,222,2280,465,618,,,,
Geneva,3154,118,2492,760,356,, ,,
Greene,1660,44,869,178,45,,,,
Hale,1489,75,1391,476,199,,,,
Henry,1924,138,1317,290,303,,,,
Houston,5087,730,4087,1308,1669,,,,
Jackson,5039,158,1242,334,600,,,,
Jefferson,45582,2439,50976,6408,3695,,,,
Lamar,3020,89,818,511,156,,,,
Lauderdale,4928,430,6593,581,2069,,,,
Lawrence,2974,369,1910,348,1169,,,,
Lee ,6477,322,2976,1391,571,,,,
Limestone,4417,226,2646,236,1299,,,,
Lowndes,1406,39,890,526,85,,,,
Macon,3303,97,1467,821,112,,,,
Madison,15292,648,13304,1553,4653,,,,
Marengo,3062,98,1944,512,308,,,,
Marion,5056,164,2349,820,401,,,,
Marshall,6166,346,3768,403,943,,,,
Mobile,2693,2135,11302,2543,16559,,,,
Monroe,2914,66,1049,386,1629,,,,
Montgomery,11916,590,10805,10175,2451,,,,
Morgan,7533,362,5675,718,2108,,,,
Perry,2388,60,2388,433,142,,,,
Pickens,3765,64,1685,487,124,,,,
Pike,3253,113,2077,1654,303,,,,
Randolph,3096,122,1448,271,255,,,,
Russell,4303,297,1341,490,470,,,,
Shelby,5875,185,5101,836,482,, ,,
St. Clair,3645,182,2949,285,321,,,,
Sumter,2280,41,886,257,120,,,,
Talladega,4370,934,5003,457,566,,, ,
Tallapoosa,6103,112,3201,1317,299,,,, 
Tuscaloosa,7706,280,9307,1779,752,,,,
Walker,7333,129,6539,1128,443,,,,
Washington,2927,51,1176,288,1615,,,,
Wilcox,2505,52,1185,830,220,,,,
Winston,987,28,725,106,61,,,,
Total,312088,19166,246214,70154,70687,,,,
Certified,334156,19166,259795,70894,66689,,,,
