County,Tom Davis,K.D. Livingston
Autauga,2855,1382
Baldwin,9342,4053
Barbour,202,73
Bibb,382,192
Blount,2880,1067
Bullock,17,12
Butler,621,252
Calhoun,2769,1167
Chambers,360,152
Cherokee,105,48
Chilton,2680,1150
Choctaw,104,31
Clarke,315,140
Clay,334,233
Cleburne,102,44
Coffee,1320,636
Colbert,1286,672
Conecuh,101,55
Coosa,241,165
Covington,803,506
Crenshaw,166,66
Cullman,2851,2681
Dale,1428,835
Dallas,292,139
Dekalb,2216,903
Elmore,4037,2100
Escambia,849,366
Etowah,3270,1247
Fayette,315,124
Franklin,390,143
Geneva,954,458
Greene,18,7
Hale,89,45
Henry,389,198
Houston,3816,2175
Jackson,465,348
Jefferson,36681,14046
Lamar,269,95
Lauderdale,1722,902
Lawrence,229,172
Lee,5034,2416
Limestone,2089,810
Lowndes,239,99
Macon,156,69
Madison,11331,6181
Marengo,97,47
Marion,349,141
Marshall,2987,1396
Mobile,16864,7837
Monroe,387,122
Montgomery,10894,6762
Morgan,3637,2766
Perry,114,70
Pickens,186,79
Pike,1212,676
Randolph,255,111
Russell,543,239
Shelby,9680,4099
St. Clair,5490,2220
Sumter,28,19
Talladega,2105,1102
Tallapoosa,849,375
Tuscaloosa,5869,2251
Walker,1831,748
Washington,118,42
Wilcox,101,41
Winston,1745,943
Calculated,171455,80741
Reported,171455,80741
