Unnamed: 0,Office,State Auditor,Unnamed: 3,Unnamed: 4
,Ballot Name,Charley Baker,Janie Baker Clarke,Wayne Sowell
,County,,nominee,
,Autauga,570,1181,360
,Baldwin,859,1848,526
,Barbour,1292,1683,989
,Bibb,542,843,417
,Blount,510,764,276
,Bullock,732,1317,369
,Butler,931,1710,548
,Calhoun,3495,3616,962
,Chambers,1387,2078,588
,Cherokee,1408,1868,735
,Chilton,947,1351,585
,Choctaw,1610,2394,822
,Clarke,1331,2753,800
,Clay,943,888,370
,Cleburne,766,745,310
,Coffee,1134,1705,777
,Colbert,2143,2930,876
,Conecuh,987,1674,610
,Coosa,995,1186,353
,Covington,888,1620,916
,Crenshaw,788,1347,421
,Cullman,2710,2762,1291
,Dale,488,824,420
,Dallas,2582,4656,1900
,DeKalb,2074,3850,593
,Elmore,795,1522,518
,Escambia,879,1596,511
,Etowah,3326,4401,1141
,Fayette,1384,1571,644
,Franklin,2410,2191,1090
,Geneva,167,310,173
,Greene,843,1705,510
,Hale,1233,3247,671
,Henry,933,1233,1026
,Houston,1754,2660,1677
,Jackson,3186,3308,1186
,Jefferson,9432,26349,11012
,Lamar,1311,1300,641
,Lauderdale,3044,3734,1535
,Lawrence,2656,2790,1063
,Lee,959,2808,505
,Limestone,2023,2177,1015
,Lowndes,958,1196,571
,Macon,1491,2500,682
,Madison,3899,8407,2540
,Marengo,1507,2308,732
,Marion,2397,2617,1072
,Marshall,1854,2229,681
,Mobile,4628,11510,2746
,Monroe,1475,2480,980
,Montgomery,4167,12181,3282
,Morgan,1760,3171,715
,Perry,1394,2306,554
,Pickens,1851,2138,825
,Pike,548,911,273
,Randolph,1337,1301,483
,Russell,1425,1817,493
,Shelby,989,2159,757
,St. Clair,741,1140,359
,Sumter,1109,1805,738
,Talladega,2469,3993,1015
,Tallapoosa,1174,1928,487
,Tuscaloosa,3150,6116,2092
,Walker,4721,4978,2639
,Washington,1890,2269,963
,Wilcox,1012,2025,677
,Winston,231,303,135
,,0.3076095270751457,0.5124442803260095,0.17994619259884473
,TOTAL,116624,194283,68223
