Unnamed: 0,Agriculture Commissioner,Unnamed: 2,Unnamed: 3
,Grace,McMillan,Peterson
Autauga,3046,3294,1655
Baldwin,2993,15346,7973
Barbour,194,223,136
Bibb,1042,1041,725
Blount,3404,2449,2391
Bullock,54,24,36
Butler,577,656,283
Calhoun,3492,2296,1993
Chambers,344,837,570
Cherokee,476,350,374
Chilton,2990,2423,1361
Choctaw,12,76,43
Clarke,182,1068,330
Clay,534,276,230
Cleburne,663,614,443
Coffee,1725,3322,1856
Colbert,726,906,671
Conecuh,59,244,115
Coosa,360,280,188
Covington,1490,1941,821
Crenshaw,352,174,81
Cullman,5379,3292,3056
Dale,1607,1892,1377
Dallas,144,143,88
DeKalb,1315,941,1395
Elmore,4407,4029,1972
Escambia,305,1914,811
Etowah,3552,3549,2759
Fayette,276,270,191
Franklin,297,363,250
Geneva,910,2336,1156
Greene,53,66,42
Hale,160,193,109
Henry,566,593,455
Houston,3499,4604,3049
Jackson,857,779,723
Jefferson,22720,13952,15480
Lamar,92,152,109
Lauderdale,1569,1669,1602
Lawrence,685,589,490
Lee,3983,3720,2541
Limestone,2566,1732,2461
Lowndes,198,183,68
Macon,203,90,57
Madison,8812,9489,11835
Marengo,99,141,86
Marion,651,577,402
Marshall,4798,2672,2672
Mobile,3350,17183,9666
Monroe,497,1004,563
Montgomery,6859,8360,3442
Morgan,7461,5142,4459
Perry,151,128,53
Pickens,196,280,183
Pike,2131,781,430
Randolph,334,373,351
Russell,161,232,183
St Clair,10001,5054,8348
Shelby,4066,3110,3203
Sumter,7,32,18
Talladega,2837,1751,1479
Tallapoosa,2029,1586,1000
Tuscaloosa,4548,5574,4288
Walker,4303,799,820
Washington,37,194,90
Wilcox,87,111,35
Winston,2051,1713,969
,145524,151177,117091
