County,Terry Ellis (D),Will Lewis (R),Unnamed: 3,Unnamed: 4
Autauga,5975,3317,,
Baldwin,11165,12632,,
Barbour,4682,1523,,
Bibb,3873,1200,,
Blount ,5829,4510,,
Bullock,3004,539,,
Butler,4419,1476,,
Calhoun,15053,7401,,
Chambers,5142,2173,,
Cherokee,3416,1058,,
Chilton,7066,3898,,
Choctaw,3931,827,,
Clarke,4990,2187,,
Clay,2195,774,,
Cleburne,1875,723,,
Coffee,6994,2728,,
Colbert,9536,3078,,
Conecuh,3173,880,,
Coosa,2619,931,,
Covington,5446,2329,,
Crenshaw,2501,645,,
Cullman,10618,7600,,
Dale,5258,3272,,
Dallas,10232,3119,,
Dekalb,9465,5687,,
Elmore,7654,5071,,
Escambia,4031,2017,,
Etowah,19028,8914,,
Fayette,4664,1522,,
Franklin,5291,2167,,
Geneva,3993,1640,,
Greene,3154,434,,
Hale,3544,982,,
Henry,2694,788,,
Houston,10843,8001,,
Jackson,5964,2262,,
Jefferson,107291,86576,,
Lamar,3003,1042,,
Lauderdale,12336,5019,,
Lawrence,4996,1151,,
Lee,9426,6831,,
Limestone,7944,3854,,
Lowndes,2874,661,,
Macon,5323,577,,
Madison,34081,28292,,
Marengo,5199,1593,, 
Marion,6492,2451,,
Marshall,8421,5145,,
Mobile,47923,30173,,
Monroe,3654,1914,,
Montgomery,38468,20984,,
Morgan,15217,10362,,
Perry,3553,877, ,
Pickens,3807,1464,,
Pike,5299,1883,,
Randolph,3079,1261,,
Russell,5384,1634, ,
Shelby,7441,16946,,
St. Clair,9747,5484,,
Sumter,4222,868,,
Talladega,9958,5289,,
Tallapoosa,7444,3126,,
Tuscaloosa,22134,12278,,
Walker,13188,4625,,
Washington,4219,1106,,
Wilcox,3587,908,,
Winston,3901,4201,,
Calculated,638928,376880,,
Reported,638928,376880,,
