Unnamed: 0,Herbert Stone (AC),Jerome Couch (A),John Sparkman (D),Winton Blount (R),John LeFlore (NDA)
Autauga,70.0,127,4949.0,2455.0,48.0
Baldwin,103.0,243,10477.0,7766.0,248.0
Barbour,49.0,163,5119.0,1974.0,63.0
Bibb,30.0,1,2987.0,1243.0,23.0
Blount,26.0,26,5336.0,3433.0,14.0
Bullock,23.0,60,2155.0,876.0,1785.0
Butler,13.0,5,4320.0,2275.0,22.0
Calhoun,187.0,77,17338.0,9528.0,359.0
Chambers,60.0,139,6804.0,4310.0,64.0
Cherokee,17.0,39,3299.0,1133.0,25.0
Chilton,44.0,15,5396.0,3833.0,62.0
Choctaw,14.0,3,3642.0,1362.0,247.0
Clarke,42.0,139,5237.0,2282.0,76.0
Clay,9.0,5,2752.0,1887.0,10.0
Cleburne,5.0,4,2356.0,1709.0,7.0
Coffee,24.0,70,8065.0,3457.0,42.0
Colbert,185.0,178,12732.0,4221.0,536.0
Conecuh,24.0,13,3567.0,1238.0,38.0
Coosa,5.0,0,2429.0,1171.0,6.0
Covington,22.0,6,7302.0,4103.0,25.0
Crenshaw,14.0,85,3305.0,1189.0,79.0
Cullman,27.0,28,12009.0,7601.0,17.0
Dale,33.0,95,6500.0,3739.0,33.0
Dallas,74.0,6,9295.0,4858.0,293.0
Dekalb,14.0,15,7309.0,6632.0,24.0
Elmore,73.0,194,6873.0,3859.0,41.0
Escambia,45.0,14,7058.0,2842.0,68.0
Etowah,170.0,91,19265.0,9648.0,313.0
Fayette,11.0,9,3601.0,1735.0,6.0
Franklin,17.0,25,4620.0,3684.0,48.0
Geneva,18.0,7,5037.0,2328.0,35.0
Greene,55.0,2,1070.0,643.0,3054.0
Hale,103.0,123,3102.0,1038.0,1012.0
Henry,5.0,5,2857.0,1580.0,8.0
Houston,74.0,134,7349.0,8118.0,269.0
Jackson,71.0,94,7794.0,2574.0,61.0
Jefferson,1953.0,3189,124540.0,68998.0,4025.0
Lamar,4.0,4,3463.0,972.0,10.0
Lauderdale,190.0,329,15755.0,5577.0,290.0
Lawrence,11.0,0,4559.0,1645.0,16.0
Lee ,73.0,217,9090.0,6147.0,166.0
Limestone,50.0,140,6528.0,2452.0,47.0
Lowndes,49.0,101,2305.0,881.0,1692.0
Macon,72.0,213,5319.0,978.0,185.0
Madison,303.0,436,36660.0,16807.0,680.0
Marengo,75.0,54,5569.0,1848.0,868.0
Marion,4.0,6,4551.0,2624.0,6.0
Marshall,89.0,211,10829.0,5840.0,79.0
Mobile,721.0,920,52697.0,31815.0,4002.0
Monroe,73.0,16,5137.0,2147.0,195.0
Montgomery,321.0,821,29587.0,18718.0,990.0
Morgan,119.0,378,17385.0,7575.0,183.0
Perry,25.0,5,2769.0,1117.0,1713.0
Pickens,27.0,6,3452.0,1586.0,1025.0
Pike,38.0,115,4883.0,2777.0,61.0
Randolph,45.0,80,3688.0,2317.0,33.0
Russell,154.0,326,5500.0,3513.0,181.0
Shelby,83.0,157,5255.0,3474.0,53.0
St. Clair,135.0,113,7312.0,4144.0,71.0
Sumter,32.0,9,2614.0,1072.0,1901.0
Talladega,45.0,18,12398.0,4942.0,102.0
Tallapoosa,62.0,171,7465.0,3654.0,59.0
Tuscaloosa,204.0,493,20413.0,9104.0,995.0
Walker,72.0,17,13171.0,6447.0,22.0
Washington,7.0,8,3138.0,1391.0,29.0
Wilcox,42.0,26,2270.0,1174.0,2679.0
Winston,4.0,7,2883.0,3463.0,2.0
Total,6838.0,108263,654491.0,347523.0,31421.0
 ,, ,,,
,, ,,,
