Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,Total Number of Votes,Absentee,001 District 1,002 District 2,003 District 3,004 District 4,005 District 5,006 District 6
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,
60,SUMTER,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,5136,499,859,923,708,716,735,696
60,SUMTER,GOVERNOR,DEM,"Siegelman, Don",3868,440,729,775,619,343,595,367
60,SUMTER,GOVERNOR,LIB,"Sophocleus, John P.",35,4,8,8,3,4,5,3
60,SUMTER,GOVERNOR,REP,"Riley, Bob",1176,46,108,133,72,366,129,322
60,SUMTER,GOVERNOR,WI,WRITE-IN,5,0,2,1,0,0,0,2
60,SUMTER,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",3868,431,717,755,609,370,580,406
60,SUMTER,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",49,4,4,10,8,9,9,5
60,SUMTER,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",1077,45,110,127,68,323,127,277
60,SUMTER,LIEUTENANT GOVERNOR,WI,WRITE-IN,3,1,1,0,0,0,1,0
60,SUMTER,UNITED STATES SENATOR,DEM,"Parker, Susan",3667,429,708,741,600,328,553,308
60,SUMTER,UNITED STATES SENATOR,LIB,"Allen, Jeff",47,4,7,9,3,6,13,5
60,SUMTER,UNITED STATES SENATOR,REP,"Sessions, Jeff",1290,49,123,146,78,373,146,375
60,SUMTER,UNITED STATES SENATOR,WI,WRITE-IN,8,0,0,1,5,0,2,0
60,SUMTER,ATTORNEY GENERAL,DEM,"Whigham, Boyd",3606,415,693,735,595,325,543,300
60,SUMTER,ATTORNEY GENERAL,LIB,"Myers, Wilson",63,6,9,11,8,6,17,6
60,SUMTER,ATTORNEY GENERAL,REP,"Pryor, Bill",1285,55,126,144,77,362,150,371
60,SUMTER,ATTORNEY GENERAL,WI,WRITE-IN,4,0,2,0,0,1,1,0
60,SUMTER,"ASSOCIATE JUSTICE, SUPREME COURT",DEM,"Anderson, James H.",3766,427,703,748,605,351,576,356
60,SUMTER,"ASSOCIATE JUSTICE, SUPREME COURT",LIB,"Bear, Tom",51,4,9,8,4,6,12,8
60,SUMTER,"ASSOCIATE JUSTICE, SUPREME COURT",REP,"See, Harold",1101,43,110,130,70,324,116,308
60,SUMTER,"ASSOCIATE JUSTICE, SUPREME COURT",WI,WRITE-IN,2,0,0,0,0,0,1,1
60,SUMTER,COURT OF CIVIL APPEALS,DEM,"Toles, Vicky Underwood",3644,420,694,735,606,318,562,309
60,SUMTER,COURT OF CIVIL APPEALS,REP,"Thompson, William ""Bill"" C.",1244,54,125,144,71,352,145,353
60,SUMTER,COURT OF CIVIL APPEALS,WI,WRITE-IN,3,0,1,1,0,0,1,0
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #1",DEM,"Funderburk, Eric B.",3625,420,692,733,600,323,551,306
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #1",LIB,"Allen, Troy E., Jr.",85,4,9,13,9,11,22,17
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #1",REP,"McMillan, H.W. ""Bucky""",1153,47,115,130,68,329,130,334
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #1",WI,WRITE-IN,4,0,0,1,1,1,1,0
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #2",DEM,"Cauthen, Florence Mangum",3702,419,702,745,598,340,565,333
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #2",REP,"Baschab, Pam",1138,47,110,130,73,323,133,322
60,SUMTER,"COURT OF CRIMINAL APPEALS, PLACE #2",WI,WRITE-IN,5,1,1,0,0,1,2,0
60,SUMTER,SECRETARY OF STATE,DEM,"Worley, Nancy L.",3764,430,704,748,601,347,571,363
60,SUMTER,SECRETARY OF STATE,LIB,"Bodenhausen, Mark",48,3,9,8,6,4,13,5
60,SUMTER,SECRETARY OF STATE,REP,"Thomas, Dave",1103,42,106,127,71,331,126,300
60,SUMTER,SECRETARY OF STATE,WI,WRITE-IN,1,0,0,0,0,0,1,0
60,SUMTER,STATE TREASURER,DEM,"Black, Stephen Foster",3727,435,699,744,599,344,562,344
60,SUMTER,STATE TREASURER,LIB,"Garland,Gabe",55,3,9,8,5,6,15,9
60,SUMTER,STATE TREASURER,REP,"Ivey, Kay",1140,42,112,135,72,334,131,314
60,SUMTER,STATE TREASURER,WI,WRITE-IN,2,1,0,0,0,1,0,0
60,SUMTER,STATE AUDITOR,DEM,"Gibson, Carolyn",3714,427,695,746,600,342,568,336
60,SUMTER,STATE AUDITOR,LIB,"Reeves, Franklin",54,4,8,6,7,6,13,10
60,SUMTER,STATE AUDITOR,REP,"Chapman, Beth",1138,43,117,133,70,334,127,314
60,SUMTER,STATE AUDITOR,WI,WRITE-IN,2,0,0,1,0,0,1,0
60,SUMTER,COMMISSIONER OF AG. & INDUSTRIES,DEM,"Sparks, Ron",3856,429,728,769,602,381,594,353
60,SUMTER,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",46,2,8,7,5,6,12,6
60,SUMTER,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",999,39,82,109,69,294,102,304
60,SUMTER,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,9,2,2,0,2,0,2,1
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",3936,431,718,779,610,420,594,384
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",50,3,8,10,7,4,14,4
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",915,40,90,94,64,259,94,274
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,3,0,1,0,0,0,2,0
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",3560,419,684,725,596,308,541,287
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",52,4,7,8,6,1,14,12
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",1279,52,126,148,77,371,143,362
60,SUMTER,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,1,0,0,0,0,0,1,0
60,SUMTER,"US HOUSE, CONGRESSIONAL DISTRICT 7",DEM,"Davis, Artur",4342,461,767,830,629,482,633,540
60,SUMTER,"US HOUSE, CONGRESSIONAL DISTRICT 7",LIB,"McCay, Lauren Orth",192,4,21,24,16,49,27,51
60,SUMTER,"US HOUSE, CONGRESSIONAL DISTRICT 7",WI,WRITE-IN,7,0,1,1,0,2,2,1
60,SUMTER,"STATE SENATE, DISTRICT 24",DEM,"Steele, Charles, Jr.",4170,446,752,817,621,433,616,485
60,SUMTER,"STATE SENATE, DISTRICT 24",WI,WRITE-IN,43,1,7,4,2,9,5,15
60,SUMTER,"STATE HOUSE OF REPRESENTATIVES, DISTRICT 71",DEM,"Black, Lucius",4146,449,751,810,625,426,615,470
