County,Horace Horn,A.W. Todd.
Autauga,3653,1932
Baldwin,2823,2658
Barbour,2239,1259
Bibb,2020,1568
Blount,1932,2732
Bullock,1190,770
Butler,2384,1344
Calhoun,5415,6016
Chambers,1939,1632
Cherokee,1656,1599
Chilton,3064,2361
Choctaw,1169,1314
Clarke,2637,1624
Clay,1535,1360
Cleburne,1554,2022
Coffee,2522,1625
Colbert,3087,4157
Conecuh,2268,1300
Coosa,1269,1018
Covington,3882,3729
Crenshaw,2614,741
Cullman,4702,7615
Dale,2378,1895
Dallas,4520,4942
Dekalb,3239,2688
Elmore,3358,2177
Escambia,2026,1640
Etowah,6141,9752
Fayette,2173,2865
Franklin,1428,3298
Geneva,1417,1160
Greene,1076,2581
Hale,2530,1727
Henry,2104,1521
Houston,3722,2865
Jackson,2271,2359
Jefferson,27187,36908
Lamar,1506,2701
Lauderdale,3273,6615
Lawrence,3441,3935
Lee,3248,2854
Limestone,3888,4740
Lowndes,957,630
Macon,2333,1779
Madison,9297,11052
Marengo,3554,2061
Marion,3320,5242
Marshall,4907,5715
Mobile,18384,18518
Monroe,2396,14686
Montgomery,21237,8065
Morgan,6198,6127
Perry,1204,2013
Pickens,1792,1940
Pike,3864,2288
Randolph,1621,1631
Russell,1395,1068
Shelby,1687,1626
St. Clair,2678,3284
Sumter,2334,2467
Talladega,4630,3947
Tallapoosa,4455,3856
Tuscaloosa,5928,8851
Walker,6412,8820
Washington,2880,2273
Wilcox,1521,1702
Winston,921,1000
Calculated,252385,270240
Reported,252385,257240
