Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,Total Number of Votes,ABSENTEE VOTERS,AIMWELL VOTING BOOTH,DAYTON TOWN OFFICE,DEMOPOLIS CIVIC CENTER,DEMOPOLIS HIGH SCHOOL,DEMOPOLIS NATL GUARD ARMORY,DEMOPOLIS WESTSIDE ELEMENTARY,DIXONS MILLS VOLUNTEER FIRE,FAUNSDALE TOWN OFFICE,FLATWOOD VOTING BOOTH,GALLION COMMUNITY CENTER,HILLS HALF ACRE,HOBOKEN VOTING BOOTH,JEFFERSON VOLUNTEER FIRE,LASCA - HARRISON STORE,MAGNOLIA COMMUNITY CENTER,MICKINLEY VOTING BOOTH,MYRTLEWOOD COMMUNITY CENTER,NANAFALIA SCHOOL,OCTAGON VOTING BOOTH,OLD COURTHOUSE BUILDING,OLD LINDEN ARMORY,PUTMAN VOTING BOOTH,QUINNEY STORE BUILDING,RANGE LINE VOTING BOOTH,SARDIS VOTING BOOTH,SPRINGHILL VOLUNTEER FIRE,SURGINER VOTING BOOTH,SWEET WATER TOWN OFFICE,THOMASTON LUNCH ROOM,VINELAND VOTING BOOTH,WAYNE VOTING BOOTH
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,MARENGO,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,7944,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
48,MARENGO,COMMISSIONER OF AG. & INDUSTRIES,LIB,"Hulcher, Maude G.",91,3,4,0,6,3,5,12,4,0,1,0,1,2,4,1,0,2,0,1,4,3,6,1,4,2,0,1,1,9,5,6,0
48,MARENGO,COMMISSIONER OF AG. & INDUSTRIES,REP,"Alley, J. Lee",2570,78,25,24,141,164,87,680,68,34,0,49,37,54,41,9,21,5,30,43,30,132,266,26,99,68,23,33,49,82,94,54,24
48,MARENGO,COMMISSIONER OF AG. & INDUSTRIES,WI,WRITE-IN,4,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #1",DEM,"Cook, Jan",5142,228,40,40,495,120,481,455,332,169,80,51,62,73,165,10,118,68,120,127,102,154,513,87,226,62,12,66,59,261,255,83,28
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #1",LIB,"Clark, Dick",93,2,2,1,6,2,6,15,7,1,0,0,0,3,5,0,0,1,2,2,1,3,4,2,4,2,0,1,0,8,9,4,0
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #1",REP,"Martin, Charles B.",2381,70,21,20,124,153,80,653,73,33,1,47,33,51,30,6,19,3,24,37,30,116,233,19,94,58,20,30,49,87,90,54,23
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #1",WI,WRITE-IN,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",3935,197,19,34,425,78,454,232,290,150,80,19,22,46,142,4,104,62,89,96,82,75,400,81,164,35,0,53,41,194,192,62,13
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",120,3,1,1,13,4,12,11,12,3,1,0,0,1,7,0,0,3,1,3,3,4,5,0,7,1,0,1,2,10,9,2,0
48,MARENGO,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",3584,101,43,24,184,192,103,886,108,51,0,77,74,80,47,12,35,7,53,68,48,194,355,30,156,89,34,46,64,154,154,77,38
