Unnamed: 0,Governor,Unnamed: 2,Unnamed: 3
,Sparks (D),Bentley (R),Write-In
Total,625710,860472,8091
Margin,0.15710783772443188,,
Autauga,5971,11943,120
Baldwin,12621,44126,957
Barbour,5127,3229,13
Bibb,2048,4384,42
Blount,3748,13024,84
Bullock,3018,874,
Butler,3728,3358,20
Calhoun,12568,21250,124
Chambers,5296,5067,15
Cherokee,2901,4315,14
Chilton,4034,9529,83
Choctaw,3701,2962,9
Clarke,5313,5369,33
Clay,2069,3248,10
Cleburne,1471,3678,22
Coffee,5647,9535,36
Colbert,7586,9181,33
Conecuh,2982,2311,10
Coosa,2342,2068,11
Covington,4328,7832,36
Crenshaw,2632,2880,17
Cullman,8803,21115,86
Dale,6093,7905,35
Dallas,11118,4567,25
DeKalb,9125,11289,
Elmore,8724,17439,164
Escambia,4091,6487,76
Etowah,12710,19312,90
Fayette,1885,4200,17
Franklin,3947,4751,16
Geneva,4079,5605,24
Greene,3668,665,1
Hale,4116,2402,5
Henry,3522,3286,16
Houston,15724,17057,69
Jackson,6794,8606,38
Jefferson,106959,103802,1684
Lamar,1580,3369,7
Lauderdale,10849,17074,71
Lawrence,5547,6036,24
Lee,13846,19704,269
Limestone,8593,17346,60
Lowndes,4100,1231,5
Macon,6634,919,5
Madison,42090,65963,323
Marengo,5084,3790,25
Marion,2994,5895,32
Marshall,7521,18164,103
Mobile,48000,61479,1188
Monroe,3413,4103,34
Montgomery,43439,30046,523
Morgan,12169,26976,108
Perry,3303,1143,12
Pickens,3280,4226,9
Pike,4685,5001,21
Randolph,2840,4453,18
Russell,6558,4917,23
St Clair,5878,18742,156
Shelby,13589,49192,564
Sumter,4290,1306,8
Talladega,10773,13200,86
Tallapoosa,6733,9023,11
Tuscaloosa,20146,34206,223
Walker,8685,13804,94
Washington,2733,3336,24
Wilcox,3824,1146,5
Winston,2045,6031,25
