County,John Patterson (D),William Longshore (R),William Jackson (I)
Autauga,1585,33,3
Baldwin,3652,171,8
Barbour,1510,31,15
Bibb,1731,29,0
Blount,2739,337,8
Bullock,590,6,1
Butler,2225,56,4
Calhoun,6070,451,25
Chambers,3077,43,3
Cherokee,1651,71,2
Chilton,3268,303,8
Choctaw,1259,3,2
Clarke,1873,35,0
Clay,1974,126,4
Cleburne,1181,46,1
Coffee,2512,53,1
Colbert,3230,305,19
Conecuh,1470,27,1
Coosa,1475,91,4
Covington,3699,64,9
Crenshaw,2058,99,3
Cullman,6132,1329,13
Dale,1526,63,6
Dallas,2368,41,6
Dekalb,7159,3143,0
Elmore,3443,82,20
Escambia,3060,66,5
Etowah,3981,1179,78
Fayette,2125,440,1
Franklin,5090,2401,16
Geneva,2026,61,0
Greene,938,38,5
Hale,1347,40,0
Henry,1269,41,2
Houston,2253,127,7
Jackson,2508,126,2
Jefferson,38765,7897,217
Lamar,1943,80,3
Lauderdale,3872,363,14
Lawrence,1686,121,4
Lee,2302,113,10
Limestone,2300,30,2
Lowndes,833,11,3
Macon,1490,357,13
Madison,5008,398,22
Marengo,1789,21,1
Marion,2788,337,4
Marshall,4400,317,7
Mobile,10721,1906,110
Monroe,1803,20,1
Montgomery,10071,670,102
Morgan,5248,197,11
Perry,1106,31,0
Pickens,1737,39,5
Pike,2064,18,1
Randolph,2268,204,6
Russell,2018,87,7
Shelby,3866,632,9
St. Clair,4026,850,5
Sumter,1102,21,1
Talladega,4953,448,18
Tallapoosa,4392,69,6
Tuscaloosa,5824,386,12
Walker,6589,1293,16
Washington,1381,23,1
Wilcox,1041,11,0
Winston,3143,1908,10
Calculated,234583,30415,903
Reported,234583,30415,903
