County,"Baxley, Lucy (D)","Adams, Lyn Curtis (L)","Armistead, Bill (R)",Write-In,Totals
Autauga,6388,185,8097,35,14705
Baldwin,13722,972,29802,118,44614
Barbour,5294,142,2505,20,7961
Bibb,3094,85,3129,0,6308
Blount,6074,329,9094,37,15534
Bullock,2595,63,784,0,3442
Butler,3951,75,2713,18,6757
Calhoun,17836,559,14567,62,33024
Chambers,5597,144,3819,0,9560
Cherokee,3532,127,2367,16,6042
Chilton,5353,170,8079,28,13630
Choctaw,2922,42,2013,0,4977
Clarke,4244,54,4458,32,8788
Clay,2639,79,2473,3,5194
Cleburne,2363,125,2234,20,4742
Coffee,6943,221,5633,31,12828
Colbert,10154,246,6592,37,17029
Conecuh,3342,48,1480,15,4885
Coosa,2707,78,1546,10,4341
Covington,6298,134,4856,20,11308
Crenshaw,2562,58,1721,10,4351
Cullman,11471,559,13676,69,25775
Dale,6086,214,5591,27,11918
Dallas,10607,179,5090,38,15914
DeKalb,8201,258,8678,1,17138
Elmore,8675,369,12035,50,21129
Escambia,4470,103,4177,25,8775
Etowah,17510,513,13647,82,31752
Fayette,4206,124,2887,25,7242
Franklin,4893,105,3386,24,8408
Geneva,4018,118,3619,26,7781
Greene,3486,24,633,0,4143
Hale,4548,65,1654,11,6278
Henry,3330,72,2007,8,5417
Houston,12512,293,12546,64,25415
Jackson,7251,219,4847,28,12345
Jefferson,115967,2859,95557,80,214463
Lamar,3163,74,2470,0,5707
Lauderdale,13923,485,11617,46,26071
Lawrence,6610,172,3617,18,10417
Lee,13706,663,14433,0,28802
Limestone,10428,350,9720,60,20558
Lowndes,4047,61,1111,4,5223
Macon,6057,91,747,15,6910
Madison,45251,2154,41405,155,88965
Marengo,4863,54,2884,17,7818
Marion,5529,139,4443,38,10149
Marshall,11062,473,11728,56,23319
Mobile,49282,2250,53863,27,105422
Monroe,4227,81,3800,18,8126
Montgomery,39849,886,27516,7,68258
Morgan,17166,631,18301,0,36098
Perry ,3739,27,1134,11,4911
Pickens,3887,76,2672,1,6636
Pike,4846,98,3326,15,8285
Randolph,3860,132,3240,0,7232
Russell,6604,180,3708,33,10525
Shelby,13572,693,35167,86,49518
St. Clair,7664,335,11700,47,19746
Sumter,3868,49,1077,3,4997
Talladega,12551,306,9173,46,22076
Tallapoosa,8016,199,6309,30,14554
Tuscaloosa,24042,630,20801,14,45487
Walker,11527,340,8861,8,20736
Washington,3642,73,2371,15,6101
Wilcox,3306,33,1179,5,4523
Winston,3314,139,4474,28,7955
Total,694442,21884,630839,1873,1349038
