County,J.E. Folsom (D),Lyman Ward (R)
Autauga,968,21
Baldwin,2297,172
Barbour,1526,8
Bibb,1493,34
Blount ,3248,583
Bullock,825,
Butler,1543,18
Calhoun,3249,179
Chambers,2034,23
Cherokee,1025,91
Chilton,2746,1067
Choctaw,1048, 
Clarke,1484,2
Clay,2337,515
Cleburne,1906,673
Coffee,1682,13
Colbert,2817,234
Conecuh,1094,6
Coosa,952,108
Covington,2091,28
Crenshaw,1350,7
Cullman,5920,1991
Dale,1505,54
Dallas,1967,18
Dekalb,6102,3550
Elmore,2552,30
Escambia,1302,11
Etowah,6890,489
Fayette,1487,406
Franklin,3504,1879
Geneva,1703,42
Greene,755,5
Hale,949,9
Henry,944,4
Houston,1965,65
Jackson,1993,312
Jefferson,29633,2306
Lamar,1710,74
Lauderdale,2865,237
Lawrence,1647,185
Lee,1438,32
Limestone,1939,18
Lowndes,707,1
Macon,863,8
Madison,3963,109
Marengo,1343,8
Marion,2102,447
Marshall,2477,315
Mobile,5605,575
Monroe,1275,3
Montgomery,6142,132
Morgan,3165,202
Perry,917,3
Pickens,1336,22
Pike,1615,10
Randolph,1790,278
Russell,1025,8
Shelby,2460,1147
St. Clair,2588,940
Sumter,1002,11
Talladega,2681,295
Tallapoosa,2458,43
Tuscaloosa,3815,98
Walker,5399,1108
Washington,1045,8
Wilcox,1163,4
Winston,1538,1088
Calculated,174959,22362
Reported,174962,22362
