 , .1,Unnamed: 2,Unnamed: 3
County,Nathan Mathis,Ron Sparks,Jacky Warhurst
Autauga,988,808,219
Baldwin,1449,1314,527
Barbour,2167,1443,621
Bibb,674,1322,180
Blount ,315,754,206
Bullock,710,1484,252
Butler,1794,2009,428
Calhoun,1605,3584,797
Chambers,1141,1687,323
Cherokee,949,2700,395
Chilton,846,1236,220
Choctaw,1278,2219,901
Clarke,1953,1587,659
Clay,521,750,158
Cleburne,634,1173,336
Coffee,2256,1186,282
Colbert,1462,1706,2293
Conecuh,1281,1504,331
Coosa,828,1140,327
Covington,1216,1484,269
Crenshaw,904,1083,281
Cullman,1899,5359,1606
Dale,1565,550,177
Dallas,2959,5397,684
Dekalb,997,3998,447
Elmore,1000,1184,264
Escambia,1654,1872,588
Etowah,2103,3548,686
Fayette,1139,2349,1076
Franklin,460,1999,4583
Geneva,748,221,44
Greene,707,1966,224
Hale,657,3619,568
Henry,2154,916,345
Houston,4129,1427,312
Jackson,531,1790,362
Jefferson,19221,25673,4546
Lamar,804,1810,745
Lauderdale,2278,4407,3229
Lawrence,1446,3195,2067
Lee,1531,2202,371
Limestone,1253,2975,1072
Lowndes,1156,1273,337
Macon,2104,1654,328
Madison,4606,7786,1953
Marengo,1635,1335,1489
Marion,1131,3014,1990
Marshall,1172,2801,539
Mobile,7088,7833,2416
Monroe,1216,1076,238
Montgomery,5717,5951,1108
Morgan,2064,4706,971
Perry,808,2743,281
Pickens,990,2704,612
Pike,636,569,153
Randolph,505,1631,226
Russell,1734,2058,343
Shelby,894,1605,345
St. Clair,660,1049,222
Sumter,1108,2592,672
Talladega,1933,3467,576
Tallapoosa,1492,2462,329
Tuscaloosa,2362,5067,935
Walker,2579,6535,1360
Washington,1729,1956,634
Wilcox,1178,2204,330
Winston,158,396,282
Calculated,120861,183097,52670
Reported,120861,183097,52670
