County,A.W. Todd (D),Stan McDonald (R)
Autauga,4956,5179
Baldwin,10704,15429
Barbour,4445,2198
Bibb,3599,1853
Blount ,5753,5469
Bullock,2842,948
Butler,4063,2460
Calhoun,13470,10779
Chambers,4727,2787
Cherokee,3191,1444
Chilton,6649,4970
Choctaw,3761,1222
Clarke,4806,3009
Clay,2284,1212
Cleburne,1903,1063
Coffee,5712,4129
Colbert,9715,4450
Conecuh,3023,1540
Coosa,2427,1212
Covington,4811,4488
Crenshaw,2259,1624
Cullman,10994,9408
Dale,4876,4302
Dallas,9066,5147
Dekalb,8635,6966
Elmore,5999,7856
Escambia,3851,2910
Etowah,18573,10942
Fayette,4654,2145
Franklin,5776,2577
Geneva,3879,2630
Greene,3160,582
Hale,3420,1495
Henry,2833,1422
Houston,10415,9754
Jackson,5917,3124
Jefferson,106399,92665
Lamar,3169,1301
Lauderdale,12859,6949
Lawrence,5234,1892
Lee,8552,8583
Limestone,7398,5787
Lowndes,2684,1003
Macon,5018,944
Madison,30736,37565
Marengo,4865,2299
Marion,6899,2870
Marshall,8184,7746
Mobile,43124,40482
Monroe,3493,2767
Montgomery,32339,31001
Morgan,14007,13561
Perry,3393,1252
Pickens,3768,1871
Pike,4936,3289
Randolph,2874,1811
Russell,5219,1988
Shelby,6751,18443
St. Clair,9349,6660
Sumter,4110,1058
Talladega,9238,7286
Tallapoosa,6726,4795
Tuscaloosa,21851,14469
Walker,13415,5704
Washington,3792,1734
Wilcox,3451,1255
Winston,4060,4478
Calculated,605041,482233
Reported,605041,482233
