County,Bill Adams,Karen Hammac,Mac Parsons,A.W. Todd
Autauga,1550,523,1812,2727
Baldwin,888,839,1294,3072
Barbour,1635,527,756,2353
Bibb,781,468,1620,2234
Blount,1223,288,1331,1733
Bullock,832,270,959,1057
Butler,1092,546,1021,2260
Calhoun,4288,2160,2066,4340
Chambers,2234,763,1146,3371
Cherokee,2015,433,701,1899
Chilton,1005,297,1705,2666
Choctaw,800,397,1625,2250
Clarke,1052,486,1430,3251
Clay,852,290,696,1935
Cleburne,780,328,635,1959
Coffee,2167,580,1585,3082
Colbert,1374,546,1454,5462
Conecuh,511,380,550,2399
Coosa,771,256,430,1929
Covington,1968,980,1231,2868
Crenshaw,1458,313,428,1556
Cullman,3582,1115,2875,6252
Dale,1608,600,1077,3407
Dallas,1888,807,4226,4396
Dekalb,1827,867,2146,3307
Elmore,1901,630,1952,3074
Escambia,1136,900,655,2585
Etowah,3793,1606,3496,6239
Fayette,1047,586,1304,3987
Franklin,964,630,927,6066
Geneva,963,712,810,2006
Greene,405,334,1117,2346
Hale,942,218,682,2025
Henry,1325,293,494,2543
Houston,2129,803,1768,5183
Jackson,2264,760,1179,3385
Jefferson,7817,4161,24494,30664
Lamar,874,354,700,3077
Lauderdale,2229,1073,1910,7984
Lawrence,1197,528,1656,5102
Lee,2191,910,2280,3951
Limestone,3221,694,1102,4573
Lowndes,686,243,808,930
Macon,1120,407,681,2020
Madison,4965,3306,4173,11061
Marengo,1351,476,1363,3409
Marion,1267,655,1468,5147
Marshall,3107,1111,2135,5489
Mobile,5046,4965,7494,11174
Monroe,746,422,703,2463
Montgomery,5891,2490,7766,9635
Morgan,3364,2258,3970,7607
Perry,738,244,1899,1480
Pickens,1772,666,1091,2473
Pike,1219,281,1020,3124
Randolph,1052,397,491,1643
Russell,1922,649,1146,2569
Shelby,645,478,1222,1619
St. Clair,1131,562,1717,3413
Sumter,1034,391,1261,1843
Talladega,3154,1320,1835,3479
Tallapoosa,2077,1113,1804,5898
Tuscaloosa,4287,2530,7301,8969
Walker,2466,2148,6056,7859
Washington,776,449,1809,3237
Wilcox,539,201,1139,2264
Winston,259,139,278,873
Calculated,123193,58152,141955,276233
Reported,123193,58152,141955,276233
