Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
,,,,,Total Number of Votes,ABSENTEE VOTERS,BELOIT COMMUNITY CENTER,BROAD STREET FIRE STATION,BROWNS-NEW FRIENDSHIP CHURCH,BYRD SCHOOL,CAHABA ROAD FIRE STATION,CARLOWVILLE MINTER-VFD,CARVER NEIGHBORHOOD CENTER,CHALLENGED ABSENTEE VOTERS,COURTHOUSE,EASTEND FIRE STATION,GOOD HOPE CHURCH,MARION JCT.-BLACKBELT EXPER.ST,MEMORIAL STADIUM,MT. ZION CHURCH,NORTHERN HTS. PRES. CHURCH,OLD NATIONAL GUARD ARMORY,ORRVILLE COMMUNITY CENTER,PLANTERSVILLE VOL. FIRE DEPT,QUEEN OF PEACE SCHOOL,RANGEDALE CENTER,SAFFORD COMMUNITY CENTER,SELMA MALL,SELMONT WATER WORKS,SHILOH SCHOOL BUILDING,SUMMERFIELD VOLUNTEER FIRE,TIPTON SCHOOL,TYLER COMMUNITY CENTER,UNION-NEW NATIONAL GUARD,UNION-OLD NATIONAL GUARD,VALLEY GRANDE COMMUNITY CENTER,WOODROW AVE. FIRE STATION
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,DALLAS,TOTAL BALLOTS CAST,TBC,TOTAL BALLOTS CAST,16102,590,100,307,63,759,781,256,330,108,262,533,76,261,620,561,731,742,741,254,302,601,156,336,288,455,438,1385,240,600,1002,1272,952
24,DALLAS,GOVERNOR,DEM,"Siegelman, Don",10285,367,94,303,35,567,468,193,321,88,120,527,34,175,123,344,716,168,547,112,216,579,113,283,198,322,175,1290,81,169,390,441,726
24,DALLAS,GOVERNOR,LIB,"Sophocleus, John P.",109,3,0,0,0,5,5,2,0,0,4,1,0,2,8,3,4,6,4,4,4,4,0,1,4,1,0,5,0,8,11,11,9
24,DALLAS,GOVERNOR,REP,"Riley, Bob",5663,237,5,2,27,180,302,58,7,21,140,5,42,83,486,213,10,559,188,136,82,17,43,48,86,131,261,88,159,421,603,811,212
24,DALLAS,GOVERNOR,WI,WRITE-IN,25,1,0,0,1,3,3,1,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,2,5,2
24,DALLAS,LIEUTENANT GOVERNOR,DEM,"Baxley, Lucy",10607,387,90,294,35,574,495,202,293,95,142,511,41,177,147,344,684,242,536,113,222,560,115,275,202,319,191,1280,95,211,458,531,746
24,DALLAS,LIEUTENANT GOVERNOR,LIB,"Adams, Lyn Curtis",179,3,2,2,0,8,11,3,5,0,2,4,0,8,3,9,10,2,11,4,6,12,0,3,7,4,2,14,1,5,14,15,9
24,DALLAS,LIEUTENANT GOVERNOR,REP,"Armistead, Bill",5090,209,6,6,27,168,267,42,12,14,116,8,35,72,464,201,22,483,180,137,74,16,40,47,78,118,237,77,140,375,521,715,183
24,DALLAS,LIEUTENANT GOVERNOR,WI,WRITE-IN,38,1,0,0,1,2,2,0,1,0,1,2,0,0,2,2,1,2,0,0,0,3,1,1,0,2,3,1,1,1,3,3,2
24,DALLAS,UNITED STATES SENATOR,DEM,"Parker, Susan",9185,333,89,285,31,524,414,178,283,89,103,488,30,150,54,299,650,104,500,93,198,530,102,260,185,290,152,1216,67,120,343,361,664
24,DALLAS,UNITED STATES SENATOR,LIB,"Allen, Jeff",175,1,1,3,0,9,7,4,4,0,3,5,0,6,6,10,9,5,10,6,1,10,0,1,6,2,3,15,1,5,16,14,12
24,DALLAS,UNITED STATES SENATOR,REP,"Sessions, Jeff",6520,270,8,10,30,214,347,69,23,20,152,29,46,99,555,248,57,621,220,150,103,47,54,64,95,152,281,139,170,468,634,885,260
24,DALLAS,UNITED STATES SENATOR,WI,WRITE-IN,24,0,0,0,1,4,4,0,1,0,0,1,0,0,1,0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,3,2,0
24,DALLAS,ATTORNEY GENERAL,DEM,"Whigham, Boyd",9066,329,85,281,34,513,413,179,279,91,106,474,33,155,74,298,643,108,483,94,188,516,101,255,171,288,146,1193,69,141,333,352,641
24,DALLAS,ATTORNEY GENERAL,LIB,"Myers, Wilson",258,5,6,4,0,11,9,1,4,2,3,11,0,7,8,9,16,11,15,8,4,10,0,5,6,9,5,23,3,8,19,17,19
