Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,COMMISSIONER OF AG. & INDUSTRIES,COMMISSIONER OF AG. & INDUSTRIES,COMMISSIONER OF AG. & INDUSTRIES,COMMISSIONER OF AG. & INDUSTRIES,COMMISSIONER OF AG. & INDUSTRIES
,DEM,LIB,REP,WI,TBC
,"Sparks, Ron","Hulcher, Maude G.","Alley, J. Lee",WRITE-IN,TOTAL VOTES CAST
STATE TOTAL,656382,31442,590350,859,1279033
Autauga,5500,332,8153,20,14005
Baldwin,12523,1527,28786,43,42879
Barbour,4470,167,2866,6,7509
Bibb,3409,134,2471,0,6014
Blount,5924,403,8204,24,14555
Bullock,2358,48,952,0,3358
Butler,3799,107,2403,5,6314
Calhoun,15993,960,13841,49,30843
Chambers,5213,162,3723,0,9098
Cherokee,3632,134,1988,5,5759
Chilton,5898,286,6569,17,12770
Choctaw,3018,53,1638,0,4709
Clarke,4532,115,3423,7,8077
Clay,2479,144,2088,4,4715
Cleburne,2135,171,2016,4,4326
Coffee,6167,245,5674,8,12094
Colbert,9971,318,5951,15,16255
Conecuh,3278,88,1233,6,4605
Coosa,2683,100,1320,4,4107
Covington,5872,192,4394,9,10467
Crenshaw,2444,64,1505,10,4023
Cullman,12529,652,11340,27,24548
Dale,5083,289,5917,21,11310
Dallas,10445,238,4701,17,15401
DeKalb,9890,302,6708,3,16903
Elmore,7691,509,12039,18,20257
Escambia,4324,152,3763,7,8246
Etowah,17346,693,12163,26,30228
Fayette,4076,221,2298,5,6600
Franklin,5292,126,2690,7,8115
Geneva,3089,145,4039,8,7281
Greene,3420,48,546,2,4016
Hale,4432,75,1472,2,5981
Henry,2809,118,2081,2,5010
Houston,9730,476,13600,31,23837
Jackson,7420,253,3998,11,11682
Jefferson,107814,4811,93665,71,206361
Lamar,3118,99,2155,0,5372
Lauderdale,13810,571,10101,16,24498
Lawrence,7051,177,2688,6,9922
Lee,12000,891,14907,0,27798
Limestone,10794,479,8022,21,19316
Lowndes,3546,99,1090,1,4736
Macon,5819,100,794,8,6721
Madison,42995,3267,36904,79,83245
Marengo,4814,91,2570,4,7479
Marion,5814,223,3626,7,9670
Marshall,10906,647,10009,25,21587
Mobile,44716,2754,50780,7,98257
Monroe,4223,130,3387,6,7746
Montgomery,33908,1036,28815,1,63760
Morgan,17741,841,15330,0,33912
Perry ,3718,50,1010,2,4780
Pickens,4157,94,2136,2,6389
Pike,3995,147,3727,5,7874
Randolph,3674,164,2937,0,6775
Russell,6521,226,3445,13,10205
Shelby,12711,1279,33499,40,47529
St. Clair,6910,564,11485,22,18981
Sumter,3856,46,999,9,4910
Talladega,11878,462,8886,20,21246
Tallapoosa,7141,297,6136,14,13588
Tuscaloosa,21707,1048,20252,22,43029
Walker,12297,420,7156,14,19887
Washington,3504,128,2119,10,5761
Wilcox,3166,46,1126,2,4340
Winston,3204,208,4041,9,7462
