County,Howell Heflin (D),S.D. Yana Davis (L),Albert Lee Smith (R),Unnamed: 4,Unnamed: 5,Unnamed: 6
Autauga,7040,132,4302,,,
Baldwin,16459,308,14702,,,
Barbour,6141,89,2738,,,
Bibb,3411,11,1871,,,
Blount,6117,97,5728,,,
Bullock,4000,44,866,,,
Butler,5274,97,2641,,,
Calhoun,21341,617,13204,,,
Chambers,9795,100,2771,,,
Cherokee,4391,42,1586,,,
Chilton,5633,115,5195,,,
Choctaw,4501,15,1645,,,
Clarke,6484,65,3483,,,
Clay,2545,63,1930,,,
Cleburne,2376,30,1650,,,
Coffee,8709,136,5650,,,
Colbert,16889,140,3480,,,
Conecuh,3683,136,1992,,,
Coosa,2602,18,1621,,,
Covington,7543,134,4880,,,
Crenshaw,3089,65,1581,,,
Cullman,12141,194,9561,,,
Dale,7060,130,5801,,,
Dallas,13985,147,5590,,,
Dekalb,11040,41,7856,,,
Elmore,9026,165,6271,,,
Escambia,6450,161,4424,,,
Etowah,25178,318,11011,,,
Fayette,1257,22,2797,,,
Franklin,6598,103,2792,,,
Geneva,4941,159,2757,,, 
Greene,4062,7,661,,,
Hale,3939,56,1576,,,
Henry,4126,37,1632,,,
Houston,14518,166,11393,,,
Jackson,10435,167,3192,,,
Jefferson,158491,1192,104765,,,
Lamar,3511,12,1816,,,
Lauderdale,21315,245,6325,,,
Lawrence,6811,137,1821,,,
Lee,14382,388,9890,,,
Limestone,9452,108,3831,,,
Lowndes,3674,49,944,,,
Macon,7787,119,849,,,
Madison,48287,726,22090,,,
Marengo,6389,73,3074,,,
Marion,6367,37,3921,,,
Marshall,12292,206,7290,,,
Mobile,74910,1837,44649,,,
Monroe,5368,98,3129,,,
Montgomery,47273,470,25019,,,
Morgan,22690,213,12390,,,
Perry,4553,38,1591,,,
Pickens,5001,27,2635,,,
Pike,6233,69,3066,,,
Randolph,4800,95,2026,,,
Russell,10105,182,2731,,,
Shelby,12114,278,15301,,,
St. Clair,7041,160,7173,,,
Sumter,5361,39,1308,,,
Talladega,11145,287,9610,,,
Tallapoosa,8109,117,4965,,,
Tuscaloosa,23603,458,19446,,,
Walker,13644,163,7729,,,
Washington,5342,25,1927,,,
Wilcox,4276,5,1504,,,
Winston,4430,11,4863,,,
Total,857535,12191,498508,,,
