Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,PRECINCT NAME,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
,,,,,Total Number of Votes,ABSENTEE VOTERS,ARDMORE TOWN HALL,ATHENS RECREATION CENTER .1,ATHENS RECREATION CENTER .2,BELMORE BAPTIST CHURCH,BETHEL CHURCH OF CHRIST,BLACKBURN COMMUNITY BUILDING,CLEMENTS FIRE DEPARTMENT,EAST LIMESTONE FIRE DEPT .1,EAST LIMESTONE FIRE DEPT .2,ELKMONT FIRE DEPARTMENT,GOODSPRINGS COMMUNITY CENTER,JOHNSON ELEMENTARY SCHOOL,LEGGTOWN,LESTER POST OFFICE,NATIONAL GUARD ARMORY .1,NATIONAL GUARD ARMORY .2,OAK GROVE FIRE DEPARTMENT,OWENS ELEMENTARY SCHOOL .1,OWENS ELEMENTARY SCHOOL .2,PINEY CHAPEL,PLEASANT GROVE FIRE DEPARTMENT,REID ELEMENTARY SCHOOL,RIPLEY - WOW HALL,SEGARS ROAD FIRE DEPARTMENT,SENIOR CITIZEN CENTER .1,SENIOR CITIZEN CENTER .2,TANNER FIRE DEPARTMENT,TRINITY 7TH DAY ADVENTIST .1,TRINITY 7TH DAY ADVENTIST .2,W HOBBS ST CHURCH OF CHRIST .1,W HOBBS ST CHURCH OF CHRIST .2,WEST LIMESTONE FIRE DEPARTMENT
County Code,County,Contest Title,Party Code,Candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,LIMESTONE,"PUBLIC SERVICE COMMISSION, PLACE #2",DEM,"Pierce, Greg",7325,151,325,187,209,225,180,291,283,214,447,252,71,210,91,32,351,219,186,120,417,295,134,344,145,137,162,165,283,57,593,238,203,108
42,LIMESTONE,"PUBLIC SERVICE COMMISSION, PLACE #2",LIB,"Abernathy, Matthew B. ""Cardy""",624,13,34,25,20,10,31,24,23,32,49,27,3,19,9,2,30,21,20,7,44,29,13,21,8,17,12,8,11,2,23,16,17,4
42,LIMESTONE,"PUBLIC SERVICE COMMISSION, PLACE #2",REP,"Wallace, George C., Jr.",11695,256,589,435,448,108,416,443,399,460,856,535,140,423,111,47,789,499,415,272,701,445,295,281,171,205,258,211,209,49,289,453,382,105
42,LIMESTONE,"PUBLIC SERVICE COMMISSION, PLACE #2",WI,WRITE-IN,27,0,2,0,1,1,2,0,2,0,0,0,1,1,0,0,2,1,1,1,3,0,2,0,1,2,0,0,0,0,1,1,1,1
42,LIMESTONE,"US HOUSE, CONGRESSIONAL DISTRICT 5",DEM,"Cramer, Bud",14797,298,770,444,490,313,420,584,550,460,937,588,172,491,175,74,781,537,472,289,877,584,334,554,277,267,325,295,413,86,779,523,451,187
42,LIMESTONE,"US HOUSE, CONGRESSIONAL DISTRICT 5",LIB,"Barksdale, Alan F.",391,4,23,12,13,9,24,18,13,21,27,24,4,10,3,1,26,14,14,4,17,14,10,9,5,10,7,9,10,1,11,10,7,7
42,LIMESTONE,"US HOUSE, CONGRESSIONAL DISTRICT 5",REP,"Engel, Stephen P.",5380,144,209,219,200,38,216,189,185,262,445,262,67,171,46,12,423,226,170,120,305,207,114,115,58,99,112,93,87,25,141,209,174,37
42,LIMESTONE,"US HOUSE, CONGRESSIONAL DISTRICT 5",WI,WRITE-IN,32,0,1,1,4,0,1,0,6,0,2,1,0,1,0,0,0,0,2,0,1,0,2,1,0,0,1,1,1,0,3,2,1,0
42,LIMESTONE,"STATE BOE, DISTRICT 8",DEM,"Caylor, Mary Jane",10744,213,507,321,342,267,299,420,397,302,649,436,125,320,133,46,564,363,306,192,624,434,225,449,210,194,229,222,353,70,686,374,327,145
42,LIMESTONE,"STATE BOE, DISTRICT 8",REP,"Stout, Don",8929,216,425,332,346,83,329,338,316,410,707,373,89,325,77,35,630,391,310,196,528,338,203,198,117,167,197,162,145,38,221,343,285,59
