Unnamed: 0,Auditor,Unnamed: 2,Unnamed: 3
,Joseph (D),Shaw (R),Write-In
,531233,893229,1301
,0.25389633480459234,,
Autauga,4101,13323,15
Baldwin,10251,45511,44
Barbour,4130,3820,7
Bibb,1729,4455,7
Blount,2531,13577,16
Bullock,2735,1001,
Butler,2981,3763,4
Calhoun,10391,21696,45
Chambers,4626,5215,5
Cherokee,2297,4359,6
Chilton,2893,10013,14
Choctaw,3250,2775,3
Clarke,4720,5286,12
Clay,1520,3239,5
Cleburne,1064,3602,5
Coffee,3673,10806,22
Colbert,7083,8850,12
Conecuh,2561,2337,7
Coosa,1960,2240,5
Covington,2534,8691,15
Crenshaw,1747,3252,8
Cullman,6419,21841,36
Dale,3565,9701,8
Dallas,10399,4863,9
DeKalb,5940,12605,
Elmore,5635,19813,31
Escambia,3537,6406,12
Etowah,10809,19438,42
Fayette,1783,3741,4
Franklin,3298,4567,15
Geneva,1967,7059,24
Greene,3547,684,2
Hale,3956,2253,2
Henry,2353,4029,9
Houston,9157,21554,40
Jackson,5176,8768,18
Jefferson,98492,107707,105
Lamar,1380,3215,5
Lauderdale,9783,16217,28
Lawrence,4687,6035,14
Lee,11993,20454,50
Limestone,6921,17424,31
Lowndes,3650,1428,0
Macon,6319,1055,3
Madison,37302,66372,97
Marengo,4557,3921,6
Marion,2511,5666,8
Marshall,5360,18442,31
Mobile,44424,63191,53
Monroe,3103,4195,8
Montgomery,38618,32780,65
Morgan,9572,27680,49
Perry ,3180,1175,2
Pickens,3228,3732,8
Pike,3638,5675,7
Randolph,2187,4398,3
Russell,6093,5094,9
St. Clair,4186,19734,19
Shelby,10849,50774,57
Sumter,4132,1302,2
Talladega,9315,13909,34
Tallapoosa,5223,9807,0
Tuscaloosa,19696,31996,51
Walker,7135,14155,28
Washington,2372,3346,4
Wilcox,3470,1258,1
Winston,1539,5959,14
