Unnamed: 0,Mondale(D),Reagan(R),Bergland(L),Hall(I),Mason(I),Richards(I),Serrette(I)
,Ferraro,Bush,Lewis,Davis,Zimmermann,Salamar,Ross
Autauga,3366,8350,165,15,2,17,2
Baldwin,7272,24964,337,29,151,159,133
Barbour,4591,5459,89,7,5,7,3
Bibb,2167,3487,13,6,2,4,8
Blount,3738,8508,102,21,43,33,37
Bullock,3537,1697, ,4,3,7,2
Butler,3641,4941,116,5,4,1,1
Calhoun,12752,23291,400,1143,99,277,120
Chambers,5302,8024,113,10,5,7,2
Cherokee,3029,3225,55,3,4,2,1
Chilton,2934,8243,93,388,11,18,1
Choctaw,3373,3960,6,3,2,0,5
Clarke,4452,6282,67,4,3,3,0
Clay,1456,3432,70,63,5,6,1
Cleburne,1238,3259,43,33,18,15,17
Coffee,4370,10558,141,10,11,18,10
Colbert,11008,9530,231,29,3,228,3
Conecuh,2735,3538,36,14,2,5,4
Coosa,1781,2585,9,7,0,3,0
Covington,3812,9944,55,45,12,8,7
Crenshaw,1904,3261,32,65,8,0,2
Cullman,7989,14782,143,176,9,16,11
Dale,3215,10319,133,8,3,13,1
Dallas,10955,9585,151,13,7,3,4
Dekalb,7212,12098,19,5,2,7,6
Elmore,4198,11694,162,7,1,10,5
Escambia,3853,8694,70,77,11,9,10
Etowah,19074,19243,184,252,3,23,2
Fayette,2533,4654,9,4,1,0,0
Franklin,4601,5304,100,8,6,5,3
Geneva,2330,6308,80,282,2,9,0
Greene,3675,1361,51,122,0,0,0
Hale,3289,2691,60,4,6,6,0
Henry,2231,3952,17,24,7,5,3
Houston,6488,20854,56,90,4,11,2
Jackson,7635,6730,169,15,16,13,4
Jefferson,107506,158362,485,72,24,74,24
Lamar,1910,3943,4,1,1,5,3
Lauderdale,12907,15354,352,23,8,14,1
Lawrence,4866,4466,77,71,2,8,4
Lee,9077,16757,289,17,4,11,6
Limestone,5410,8423,160,12,0,4,1
Lowndes,3567,1629,38,5,7,4,2
Macon,7857,1543,52,19,8,6,14
Madison,26881,50428,683,58,16,63,5
Marengo,4811,5261,101,8,8,14,10
Marion,3918,6771,17,4,1,1,1
Marshall,7704,12330,305,32,6,13,1
Mobile,47252,81923,804,772,73,61,74
Monroe,3725,5917,55,40,5,10,4
Montgomery,31206,43328,337,19,36,45,34
Morgan,11324,24301,73,12,5,13,13
Perry,2731,2600,66,5,0,3,3
Pickens,3586,4685,9,6,3,5,2
Pike,3541,6231,146,12,7,10,6
Randolph,2439,4940,124,6,2,4,0
Russell,7610,6654,166,6,9,6,1
St. Clair,4000,10408,232,8,0,1,5
Shelby ,5884,21858,271,20,12,17,6
Sumter,4478,2493,16,1,2,1,2
Talladega,8490,14067,220,209,6,23,5
Tallapoosa,4458,9045,139,11,3,5,5
Tuscaloosa,16066,28075,533,37,4,17,7
Walker,10591,12852,94,194,10,8,4
Washington,3081,4434,17,2,3,3,3
Wilcox,3663,2337,8,4,4,4,2
Winston,2624,6845,5,3,0,0,1
Totals,550899,873067,9455,4680,740,1401,659
Certified,551899,872849,9504,4671,730,1401,659
% of Total=,0.38280781265064545,0.6054249354760621,0.006592158078618976,0.0032398958738667125,0.0005063421083114323,0.0009717606763620776,0.0004570951361331971
Total Vote=,1441713,,,,,,
