Unnamed: 0,Unnamed: 1,Lieutenant Governor,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
County,CD,Erwin,Ivey,Ponder,,
Autauga  ,2,1957,5835,827,,
Baldwin  ,1,7258,14475,5864,, 
Barbour  ,2,162,353,83,,
Bibb  ,6,1846,1106,193,,
Blount  ,4,3660,4207,988,,
Bullock  ,2,38,79,8,,
Butler  ,2,297,1181,145,,
Calhoun  ,3,2208,4680,1463,,
Chambers  ,3,445,1192,328,,
Cherokee  ,3,350,672,227,,
Chilton  ,6,4737,2286,538,,
Choctaw  ,7,50,80,13,,
Clarke  ,"1, 7",423,1263,163,,
Clay  ,3,353,554,190,,
Cleburne  ,3,544,814,409,,
Coffee  ,2,1707,4866,871,,
Colbert  ,5,669,1545,342,,
Conecuh  ,2,116,324,43,,
Coosa  ,"3, 6",297,466,107,,
Covington  ,2,1043,3319,433,,
Crenshaw  ,2,129,408,80,,
Cullman  ,4,4892,5805,1665,,
Dale  ,2,1228,3233,652,,
Dallas  ,7,77,286,36,,
DeKalb  ,4,1076,2364,482,,
Elmore  ,2,2775,7039,1164,,
Escambia  ,1,836,2219,308,,
Etowah  ,4,3465,5976,1369,,
Fayette  ,4,334,368,91,,
Franklin  ,4,266,551,166,,
Geneva  ,2,1195,2841,630,,
Greene  ,7,68,90,15,,
Hale  ,7,161,306,45,,
Henry  ,2,406,1103,214,,
Houston  ,2,2351,8159,1647,,
Jackson  ,5,610,1651,319,,
Jefferson  ,"6, 7",23294,29233,4786,,
Lamar  ,4,135,189,46,,
Lauderdale  ,5,1402,3339,646,,
Lawrence  ,5,494,1104,297,,
Lee  ,3,2582,7011,1765,,
Limestone  ,5,1915,4649,900,,
Lowndes  ,2,101,330,35,,
Macon  ,3,72,252,44,,
Madison  ,5,8200,21818,4359,,
Marengo  ,7,77,231,35,,
Marion  ,4,636,858,217,,
Marshall  ,4,2937,6343,1565,,
Mobile  ,1,11567,17927,4228,,
Monroe  ,1,459,1681,157,,
Montgomery  ,"2, 3",3857,14921,1691,,
Morgan  ,"4, 5",4113,12457,2105,,
Perry  ,7,102,240,21,,
Pickens  ,"4, 7",241,386,101,,
Pike  ,2,694,2437,297,,
Randolph  ,3,300,528,254,,
Russell  ,3,196,328,91,,
Shelby  ,6,12344,10998,2130,,
St. Clair  ,"4, 6",4413,5559,1227,,
Sumter  ,7,12,46,5,,
Talladega  ,3,2015,3498,875,,
Tallapoosa  ,3,1269,2972,718,,
Tuscaloosa  ,"6, 7",5382,8704,1909,,
Walker  ,4,2734,2479,586,,
Washington  ,1,99,198,43,,
Wilcox  ,7,21,228,19,,
Winston  ,4,1728,2565,695,,
Total,,141420,255205,53965,,
Percentages,,,,,,
