County,Bill Baxley (D),Guy Hunt (R)
Autauga,3763,6889
Baldwin,7829,22072
Barbour,4155,3409
Bibb,2629,2521
Blount,3635,9133
Bullock,3441,1375
Butler,3658,3838
Calhoun,12343,17811
Chambers,3675,5934
Cherokee,4696,2315
Chilton,3915,7521
Choctaw,3409,2182
Clarke,4283,4968
Clay,1840,3528
Cleburne,1238,2523
Coffee,4751,6839
Colbert,11794,5440
Conecuh,3154,3121
Coosa,1813,2090
Covington,4421,7417
Crenshaw,2619,2901
Cullman,7042,18238
Dale,3499,7444
Dallas,10467,7338
Dekalb,7602,9314
Elmore,5448,9893
Escambia,3700,5753
Etowah,17571,14081
Fayette,2441,3984
Franklin,4631,3321
Geneva,2994,4433
Greene,3535,954
Hale,3482,1946
Henry,2497,2883
Houston,8759,15134
Jackson,5645,4631
Jefferson,98569,135692
Lamar,1848,2626
Lauderdale,14304,8369
Lawrence,5677,3316
Lee,7133,12228
Limestone,7107,6570
Lowndes,3977,1261
Macon,6746,1171
Madison,22918,37553
Marengo,4511,3921
Marion,4199,5065
Marshall,6811,11055
Mobile,38023,67405
Monroe,3898,4106
Montgomery,34520,36144
Morgan,13273,18801
Perry,3519,1831
Pickens,3166,3193
Pike,4156,4856
Randolph,2684,4652
Russell,4542,3493
Shelby,6170,20125
St. Clair,3874,8895
Sumter,4123,1490
Talladega,7854,11343
Tallapoosa,4438,7543
Tuscaloosa,17882,19396
Walker,9190,10326
Washington,2922,2972
Wilcox,3760,1620
Winston,2995,6011
Calculated,537163,696203
Reported,537163,696203
