County,Anne Payne,Charles Bishop 
Autauga,567,788
Baldwin,950,1544
Barbour,3966,2982
Bibb,1516,1969
Blount,702,762
Bullock,982,1673
Butler,1306,1644
Calhoun,3821,4766
Chambers,2050,3341
Cherokee,1905,2339
Chilton,758,1275
Choctaw,1422,2584
Clarke,2165,2824
Clay,899,1289
Cleburne,1417,1071
Coffee,1535,1783
Colbert,1745,3999
Conecuh,1027,1167
Coosa,1434,2207
Covington,1349,2167
Crenshaw,2226,980
Cullman,2311,2784
Dale,838,929
Dallas,4944,6842
Dekalb,1312,1788
Elmore,861,915
Escambia,746,1483
Etowah,3205,4567
Fayette,1327,2143
Franklin,1563,3074
Geneva,1103,1476
Greene,1136,2017
Hale,2135,1937
Henry,1188,1327
Houston,1259,2397
Jackson,1192,1493
Jefferson,27607,10578
Lamar,746,1431
Lauderdale,3221,5568
Lawrence,2399,4352
Lee,1556,2053
Limestone,2661,3604
Lowndes,1099,1607
Macon,1683,2015
Madison,4956,4607
Marengo,2985,3678
Marion,2302,3853
Marshall,1414,1524
Mobile,4925,7730
Monroe,1732,2726
Montgomery,5459,6569
Morgan,3546,5052
Perry,1017,2412
Pickens,2096,2842
Pike,1184,1253
Randolph,1025,1824
Russell,630,1064
Shelby,1247,1074
St. Clair,758,1003
Sumter,1590,3046
Talladega,1756,2205
Tallapoosa,3637,4045
Tuscaloosa,3080,3814
Walker,3419,6053
Washington,1892,2772
Wilcox,1200,1907
Winston,226,529
Calculated,151910,181116
Reported,151910,181116
